hour_of_week,BTC,ETH,SOL,XRP
91,1.5508056379046822,1.4321639589461093,1.5105144339415406,1.6407335920174264
92,1.4408432611027358,1.3429152439174081,1.3393324948556273,1.6853473640497192
93,1.1983527484119822,1.0051988067699307,1.0427443103259808,1.1998675611813296
94,1.0112977735524447,0.9036780573823722,0.9490508574349221,0.9911601778816458
95,0.9048632727154278,0.8525916292893109,0.8159903544858075,0.9460370189246443
96,1.716882094076974,1.6109441626751353,1.862385486426171,1.6232967862873444
97,1.2911418565598392,1.335014297187219,1.279541992761828,1.462885298122324
98,1.18625633955243,1.057775098591997,1.1622515720702429,1.1110609248344936
99,0.8942004548222141,0.8856714780346016,0.9227325880848122,0.8589515994745487
100,0.8805851107486616,0.8622954687814884,0.8802527359190617,0.7884746504237804
101,0.7352404290604707,0.6324136817332051,0.7622980533916499,0.7743049248728583
102,0.7245337567372188,0.7239482238938549,0.8352129936986484,0.8823264497494441
103,1.0265518889425043,1.026368452495232,1.1072416267251377,1.0654112421323978
104,1.051538801628364,0.949629431274725,0.9563853675301504,1.006531527243437
105,0.9217625984261171,0.7808430076083099,0.8954576263637214,0.8596775501406573
106,0.8487410591709501,0.781171543867788,0.8739421493044403,0.9476016667644535
107,0.8134232338988503,0.7885454242084166,0.9103233518830758,0.8800960541329413
108,1.2759891262111884,1.238135277022807,1.2452667733006655,1.2514833438247055
109,1.8181810777526766,1.7233268896305056,1.6849766145402196,1.613780091376187
110,3.0186328552566137,2.6248382195414766,2.421445067116471,2.2244091707897464
111,3.1463683566470695,2.8653096536906904,2.6421777208886303,2.6905942457081853
112,2.0136912313400437,1.8477487488265347,1.8444130525707862,1.9283668634649467
113,1.7794513841687307,1.4893378822117183,1.6008466737131868,1.5639304564456156
114,1.4361872852670339,1.297309391745607,1.1737727071745199,1.242420889684338
115,1.0310535223558912,0.9934508614501112,0.9829759071412824,1.0355234375259537
116,1.1258647068260905,1.1358134334168115,1.0013560404985258,1.1192206233504902
117,1.4327838372599433,1.4312284723516149,1.5739042398865153,1.969749809179604
118,0.9119527407476703,0.9520924866004108,1.125416760990807,1.5253934598437013
119,0.5868660887943626,0.6311832220169806,0.7098853782922532,0.9181370074974862
120,0.5935127906579921,0.5282738251236727,0.7031496496237666,1.1657900030471242
121,0.4189516353112474,0.45007371192455714,0.5350009842108644,0.7297511305072899
122,0.3820550904951006,0.38750640928858704,0.4911237930223653,0.6291321067178678
123,0.3506472208201489,0.3735387912920406,0.4364306732626619,0.5625911253708453
124,0.3815968624889891,0.39998885598009093,0.418847646153199,0.56644279869848
125,0.2825622375794376,0.2595421863507698,0.3933374667252749,0.49489148784516573
126,0.5839875252322777,0.5040907702722138,0.6036002762924367,0.678050710980451
127,0.6631754588316022,0.5744812925137152,0.5873660146241348,0.7545396005724975
128,0.529915332212475,0.5608980761257017,0.5625527174287475,0.7761121755262802
129,0.3581180894633931,0.3477980634387303,0.4534891175128769,0.5954840400085865
130,0.2762399939981348,0.27397004041524287,0.37662301893224837,0.4693332286168967
131,0.32705134389058416,0.3256492932444241,0.37321042006187655,0.5172626205471865
132,0.494884717478424,0.4432080413892208,0.4742516424262629,0.6420412460702043
133,0.5184821959081041,0.5118472421108947,0.613705488756156,0.8085409297955387
134,0.7115260472335587,0.7267509961084582,0.8808802394254922,0.9317033594465424
135,0.5238521122692027,0.5929257965993171,0.6707116803708347,0.6836110241225245
136,0.6788383192397043,0.7901343344564045,0.7719675750414202,0.8019269914165772
137,0.5789434470731866,0.7083758831685908,0.7300618896286115,0.7337743335736245
138,0.6422624769975108,0.7839578717424199,0.6754734281959655,0.7322774248129805
139,0.47906742615080394,0.5315778012619773,0.5137118828202808,0.554697312810738
140,0.451954798806694,0.5292082002397223,0.5739711688325329,0.5815814465704217
141,0.4818166234060986,0.5300900903034083,0.562927883575538,0.5982986146154675
142,0.4325663271453608,0.42021078505879295,0.5398924463509812,0.5063998621038704
143,0.4659486850883309,0.4791048794876121,0.504914024346172,0.5071229379340765
144,0.49013690352613043,0.47471199108173184,0.5711253770404633,0.67538200200718
145,0.6454502675322631,0.6462165729709755,0.6609416210932916,0.7496164120919684
146,0.6609870661345616,0.6576376707051044,0.7074981719778242,0.8094887789444483
147,0.39747640831410397,0.4120502632210774,0.48460339344557407,0.6271007243748136
148,0.42008715527216506,0.40125696685341755,0.45213900186516287,0.5355876972424138
149,0.27949313791851604,0.2810552491856692,0.3538372747003825,0.4326423891801053
150,0.24877533561765483,0.255165046781855,0.3322637596367505,0.3673078465934081
151,0.3242513476944081,0.339908999098229,0.384823051136308,0.48287461546238203
152,0.49514187718686176,0.5395633368513318,0.5270838683325012,0.8378861252036941
153,0.49112179603270284,0.44460770292076274,0.5135031199178406,0.6222929822216147
154,0.3963837624380878,0.43341612626687237,0.461813697348308,0.5436035773120087
155,0.44651784410211076,0.4709541682608121,0.46175957032219933,0.5242000494712005
156,0.5128307427737699,0.560692614545329,0.542561418717155,0.5908999347802868
157,0.6819697750480838,0.7298506161855896,0.785150107518605,0.8566903684481468
158,0.8351730475273712,1.1417851154487755,1.045118974788003,1.2033932144961534
159,0.8871612215263898,1.0334936761115985,1.0303154527390712,1.0475221972230395
160,0.8282443811620114,0.9871382779094285,1.0949851538687492,1.0100520036198821
161,0.7200296723989742,0.9331679827408874,0.8260475469047204,0.796120564279664
162,0.6454135651707678,0.8717831973616669,0.6878356765633697,0.7280725524899186
163,0.5551367117947391,0.6334637305598563,0.6716643185485724,0.6165369281352113
164,0.6296341798729251,0.7805102670939551,0.7606909625929968,0.7311965076699722
165,0.7636093574655225,0.7279178757621864,0.7702436037682555,0.6880858372791154
166,1.8620654204822316,1.7065623423271037,1.6318248715836563,1.4352348084627211
167,1.7818959652527815,1.7010086525616934,1.590206100814686,1.4871527803830533
