asset,event,slug,ts,ask,n_ask,gap,label,delta,ret_T,covd,limit,fill_t,ev_taker,fill_1800,ev_am_1800,ev_fb_1800,fill_7200,ev_am_7200,ev_fb_7200,fill_14400,ev_am_14400,ev_fb_14400
BTC,2025-11-26,bitcoin-above-84k-on-november-26,1763677800,0.72,0.72,0.05756334020846443,1,4.483974119146264,-0.0028499243290320037,True,0.71,1763682732.189,0.2786669869329048,False,,0.2786669869329048,True,0.30277898693290484,,True,0.30277898693290484,
BTC,2025-11-26,bitcoin-above-84k-on-november-26,1763768700,0.56,0.56,0.06168459861300646,1,5.777595751271791,0.03035545200244482,True,0.55,,0.24737046948273997,False,,0.24737046948273997,False,,0.24737046948273997,False,,0.24737046948273997
BTC,2025-11-27,bitcoin-above-84k-on-november-27,1763678700,0.71,0.71,0.05028507588480935,1,4.319579325116784,0.03699044316506911,True,0.7,1763683474.806,0.11580384647726005,False,,0.11580384647726005,True,0.14021684647726007,,True,0.14021684647726007,
BTC,2025-11-27,bitcoin-above-84k-on-november-27,1763770500,0.56,0.56,0.062135992309872656,1,5.247134735316745,0.06711479879949203,True,0.55,,0.07059160796539071,False,,0.07059160796539071,False,,0.04090660796539081,False,,0.08051460796539073
BTC,2025-12-01,bitcoin-above-86k-on-december-1,1764176400,0.63,0.63,0.06437721046498568,0,7.216346355643642,-0.03713988732629071,True,0.62,,-0.37830270944390654,False,,-0.5909107094439064,False,,-0.5909107094439064,False,,-0.5909107094439064
BTC,2025-12-02,bitcoin-above-86k-on-december-2,1764176400,0.62,0.62,0.055003245216459606,1,6.531776008576495,0.03461362625645004,True,0.61,,0.13741954644828616,False,,0.13741954644828616,False,,0.13741954644828616,False,,0.13741954644828616
BTC,2025-12-31,bitcoin-above-86k-on-december-31,1766715300,0.65,0.83,0.08696542089348103,1,7.467929127914152,-0.006522109570763562,True,0.64,,0.20882965203895293,False,,0.20882965203895293,False,,0.23750665203895283,False,,0.20882965203895293
BTC,2026-02-05,bitcoin-above-86k-on-february-5,1769784300,0.25,0.26,0.06098172083401404,0,6.382607495221253,-0.20564453965850846,True,0.24,,1.0390803801757202,False,,1.0597803801757202,False,,1.0390803801757202,False,,0.9670713801757203
BTC,2025-11-24,bitcoin-above-86k-on-november-24,1763587800,0.74,0.74,0.06476558513208708,1,4.806480857079716,-0.03212347438597062,True,0.73,,0.4009328646990584,False,,0.4009328646990584,False,,0.4009328646990584,False,,0.4009328646990584
BTC,2025-11-24,bitcoin-above-86k-on-november-24,1763736300,0.37,0.42,0.06862523248602437,1,6.116977525561272,0.027328380863798737,True,0.36,1763738435.002,0.39578090844616454,False,,0.4873559084461644,True,0.47283290844616443,,True,0.47283290844616443,
