asset,event,slug,ts,T_pm,bid,ask,fv,gap,label,delta,ret_T,S_bin,tte_d,covd,L_bid+1c,ft_bid+1c,L_mid-1c,ft_mid-1c,L_ask-1c,ft_ask-1c,chase_ft,chase_L,chase_state
BTC,2025-12-10,bitcoin-above-102k-on-december-10,1764792900,1765386060,0.03,0.08,0.06694380593810297,0.026943805938102965,0,2.015770111804941,-0.009331148957957051,92977.32,6.865277777777778,True,0.04,,0.045,,0.07,,,,cancelled_gap
BTC,2025-12-16,bitcoin-above-102k-on-december-16,1765390500,1765904460,0.012,0.039,0.047126934525230355,0.025126934525230356,0,1.7105770873988366,-0.053813817737020805,92401.28,5.948611111111111,True,0.022,,0.0155,,0.029,,,,cancelled_gap
BTC,2026-01-19,bitcoin-above-102k-on-january-19,1768405500,1768842060,0.074,0.124,0.10917389249893576,0.025173892498935757,0,4.029364841194271,-0.03304205114757951,96428.77,5.052777777777778,True,0.084,1768406077.541,0.089,1768406077.541,0.114,1768406077.541,1768406077.541,0.084,filled_early
BTC,2026-01-19,bitcoin-above-102k-on-january-19,1768494600,1768842060,0.038,0.08,0.07308671061529966,0.025086710615299657,0,3.4787413379534935,-0.033024525104163746,96427.08,4.021527777777778,True,0.048,,0.049,,0.07,,,,cancelled_gap
BTC,2026-01-22,bitcoin-above-102k-on-january-22,1768518000,1769101260,0.06,0.11,0.10000983211420894,0.030009832114208934,0,3.396706515777636,-0.07107562007198383,95583.87,6.750694444444444,False,0.07,,0.075,,0.1,,,,na
BTC,2025-11-10,bitcoin-above-102k-on-november-10,1762297200,1762794060,0.43,0.48,0.4729487583687042,0.0329487583687042,1,6.226703748562114,0.038556705050729986,101295.71,5.750694444444444,False,0.44,,0.445,,0.47,,,,na
BTC,2025-11-10,bitcoin-above-102k-on-november-10,1762443000,1762794060,0.54,0.59,0.575912821108858,0.025912821108857953,1,9.595339812801171,0.02734283319436578,102438.02,4.063194444444444,False,0.55,,0.555,,0.58,,,,na
BTC,2025-11-11,bitcoin-above-102k-on-november-11,1762470000,1762880460,0.43,0.48,0.4704334889449694,0.03043348894496939,1,8.078952163885758,0.019600554261680038,101415.05,4.750694444444445,False,0.44,,0.445,,0.47,,,,na
BTC,2025-11-11,bitcoin-above-102k-on-november-11,1762852500,1762880460,0.954,0.974,0.9946378738550435,0.030637873855043574,1,1.4874454828096728,-0.01716519049850057,105213.04,0.3236111111111111,False,0.964,,0.954,,0.964,,,,na
BTC,2025-11-13,bitcoin-above-102k-on-november-13,1763003700,1763053260,0.28,0.3,0.3491107471267087,0.05911074712670872,0,20.348106653275288,-0.007851014462316591,101346.81,0.5736111111111111,False,0.29,,0.28,,0.29,,,,na
BTC,2025-11-15,bitcoin-above-102k-on-november-15,1762996500,1763226060,0.52,0.56,0.5587404426462645,0.02874044264626452,0,11.348361284993775,-0.06247410933116969,102398.65,2.6569444444444446,False,0.53,,0.53,,0.55,,,,na
BTC,2025-11-16,bitcoin-above-102k-on-november-16,1762992000,1763312460,0.45,0.5,0.49201807536793496,0.03201807536793494,0,9.705082044422051,-0.07527307140554411,101654.37,3.7090277777777776,False,0.46,,0.465,,0.49,,,,na
BTC,2025-11-16,bitcoin-above-102k-on-november-16,1763090100,1763312460,0.18,0.22,0.2228957159273573,0.032895715927357294,0,8.158490611539927,-0.05233555888130687,99349.21,2.573611111111111,False,0.19,,0.19,,0.21,,,,na
BTC,2025-11-17,bitcoin-above-102k-on-november-17,1762992000,1763398860,0.46,0.51,0.49702148240409155,0.02702148240409158,0,8.468315432211602,-0.07567025080059199,101654.37,4.709027777777778,True,0.47,,0.475,,0.5,,,,cancelled_gap
BTC,2025-11-17,bitcoin-above-102k-on-november-17,1763137800,1763398860,0.08,0.12,0.11715501081474089,0.027155010814740893,0,4.614129265711937,-0.02853596289751287,96974.13,3.0215277777777776,True,0.09,1763144774.607,0.09,1763144774.607,0.11,1763144774.607,,,cancelled_gap
BTC,2025-11-19,bitcoin-above-102k-on-november-19,1763003700,1763571660,0.42,0.46,0.4584190695419255,0.028419069541925523,0,7.1445076168853126,-0.11818443618914513,101346.81,6.573611111111111,True,0.43,,0.43,,0.45,,,0.44,chased
BTC,2025-11-19,bitcoin-above-102k-on-november-19,1763138700,1763571660,0.15,0.19,0.18656515470754123,0.026565154707541228,0,4.670458317720669,-0.07550057857269592,97111.96,5.011111111111111,True,0.16,1763145735.203,0.16,1763145735.203,0.18,1763145735.203,,,cancelled_gap
BTC,2025-11-20,bitcoin-above-102k-on-november-20,1763175600,1763658060,0.11,0.16,0.15028781076726086,0.030287810767260864,0,4.225088789129011,-0.09362902388757922,96482.77,5.584027777777778,True,0.12,,0.125,,0.15,,,0.13,chased
BTC,2025-11-05,bitcoin-above-102k-on-november-5,1762186500,1762362060,0.833,0.882,0.8748960493001948,0.03189604930019485,1,6.296344353663357,-0.021797266759990448,106073.24,2.0319444444444446,False,0.843,,0.8475,,0.872,,,,na
BTC,2025-11-06,bitcoin-above-102k-on-november-6,1762281900,1762448460,0.398,0.42,0.4349706396609399,0.026970639660939932,0,9.393571206610247,-0.0027854609290575354,101266.0,1.9277777777777778,False,0.408,,0.399,,0.41,,,,na
BTC,2025-11-06,bitcoin-above-102k-on-november-6,1762415100,1762448460,0.754,0.779,0.7967318579991086,0.032731857999108604,0,20.24437836389776,-0.021526545226853922,103181.73,0.3861111111111111,False,0.764,,0.7565,,0.769,,,,na
BTC,2025-11-07,bitcoin-above-102k-on-november-7,1762329600,1762534860,0.461,0.511,0.49748106554461946,0.026481065544619486,0,8.976500754160577,-0.0093037799673002,101993.02,2.3756944444444446,False,0.471,,0.476,,0.501,,,,na
BTC,2025-11-07,bitcoin-above-102k-on-november-7,1762450200,1762534860,0.393,0.424,0.4289335435163063,0.02593354351630628,0,14.270290410412118,-0.0037892066806591955,101432.12,0.9798611111111112,False,0.403,,0.3985,,0.414,,,,na
BTC,2025-11-08,bitcoin-above-102k-on-november-8,1762291800,1762621260,0.31,0.36,0.35576346366551503,0.03576346366551503,0,6.817626790786491,0.01918486562294066,99926.29,3.813194444444444,False,0.32,,0.325,,0.35,,,,na
BTC,2025-11-08,bitcoin-above-102k-on-november-8,1762450200,1762621260,0.41,0.44,0.4535232072663287,0.033523207266328736,0,11.413113144210168,0.004227873535712494,101432.12,1.979861111111111,False,0.42,,0.415,,0.43,,,,na
BTC,2025-11-08,bitcoin-above-102k-on-november-8,1762592400,1762621260,0.72,0.75,0.7675480250840486,0.03754802508404864,0,53.226759566574934,-0.005578945695680108,102431.74,0.33402777777777776,False,0.73,,0.725,,0.74,,,,na
BTC,2025-11-09,bitcoin-above-102k-on-november-9,1762682400,1762707660,0.33,0.38,0.38605130733797066,0.04605130733797064,1,33.270779137863826,0.021828826272243338,101657.46,0.2923611111111111,False,0.34,,0.345,,0.37,,,,na
BTC,2025-10-18,bitcoin-above-102k-on-october-18,1760689800,1760803260,0.775,0.817,0.8159644810454983,0.030964481045498315,1,7.2602211904396015,0.016833827770258318,105173.59,1.3131944444444443,False,0.785,,0.786,,0.807,,,,na
