asset,slug,ts,event,entry,fv,fv_sea,tte_d,label,ev_raw,ev_hedged
SOL,solana-above-150-on-november-12,1762945200,2025-11-12,0.965,0.9978801779326745,0.9936952107309376,0.25069444444444444,1,0.032635750000000026,0.04598945744124262
ETH,ethereum-above-3300-on-november-13,1763046000,2025-11-13,0.969,0.9998685305037108,0.9967382046162668,0.08402777777777778,1,0.028897270000000027,0.03074492472430872
XRP,xrp-above-2pt2-on-november-14,1763131500,2025-11-14,0.986,0.9998456253253584,0.9909897965475695,0.09444444444444444,1,0.01303372000000001,0.012549468198107582
BTC,bitcoin-above-94k-on-november-15,1763203500,2025-11-15,0.975,0.9928749071211556,0.9905874840598536,0.2611111111111111,1,0.02329375000000002,0.019325282957379758
SOL,solana-above-130-on-november-17,1763387100,2025-11-17,0.988,0.9998486291477652,0.9960115624019794,0.1361111111111111,1,0.01117008000000001,0.011964414503956546
ETH,ethereum-above-2900-on-november-19,1763568900,2025-11-19,0.976,0.9986966092445948,0.9904989639287007,0.03194444444444444,1,0.02236032000000002,0.02645961694963151
ETH,ethereum-above-3000-on-december-3,1764773100,2025-12-03,0.956,0.9998484931290614,0.9965113645781977,0.09444444444444444,1,0.04105552000000004,0.0417723675595579
ETH,ethereum-above-3100-on-december-4,1764863100,2025-12-04,0.989,0.9999884564562557,0.9993432463553997,0.05277777777777778,1,0.01023847000000001,0.010328329925293644
BTC,bitcoin-above-88k-on-december-6,1765012500,2025-12-06,0.979,0.9924006059749125,0.9915954964750076,0.3236111111111111,1,0.01956087000000002,0.012562638383014215
ETH,ethereum-above-3000-on-december-8,1765201500,2025-12-08,0.978,0.9996536167811848,0.9938038788491282,0.1361111111111111,1,0.02049388000000002,0.022063898809257403
BTC,bitcoin-above-88k-on-december-11,1765468800,2025-12-11,0.979,0.9999618926331043,0.999020558631545,0.04236111111111111,1,0.01956087000000002,0.019608480837989856
ETH,ethereum-above-3000-on-december-12,1765556100,2025-12-12,0.98,0.9998944945761025,0.9932927571985178,0.03194444444444444,1,0.018628000000000016,0.018661992232546488
ETH,ethereum-above-2900-on-december-15,1765812600,2025-12-15,0.975,0.9993997054453974,0.9911336352602685,0.06319444444444444,1,0.02329375000000002,0.02419480671772835
