asset,event,ts,side,edge,nfill,both,ev_raw,ev_hedged
ETH,2025-11-20,1763089200,short,0.035324451432949044,0,0,0.0,0.0
ETH,2025-11-20,1763089200,long,0.03348273760756282,1,0,-0.53,-0.0375724525006928
ETH,2025-11-20,1763089200,short,0.026517262392437124,0,0,0.0,0.0
ETH,2025-11-17,1763091000,short,0.026381903813066154,0,0,0.0,0.0
BTC,2025-11-20,1763095500,long,0.0333390876748183,0,0,0.0,0.0
BTC,2025-11-20,1763095500,long,0.038295089822702355,1,0,-0.35000000000000003,0.27969028632754783
BTC,2025-11-20,1763095500,short,0.031704910177297485,1,0,-0.23,0.28603002198824634
BTC,2025-11-20,1763095500,short,0.055723774736351595,1,0,-0.13,0.25545761977088133
BTC,2025-11-20,1763095500,short,0.03659148920640265,0,0,0.0,0.0
BTC,2025-11-20,1763095500,long,0.03340851079359752,1,0,-0.13,0.25545761977088133
BTC,2025-11-20,1763095500,short,0.03659148920640265,0,0,0.0,0.0
BTC,2025-11-20,1763095500,long,0.03340851079359752,1,0,-0.13,0.25545761977088133
BTC,2025-11-20,1763095500,long,0.038295089822702355,1,0,-0.35000000000000003,0.27969028632754783
BTC,2025-11-20,1763095500,short,0.031704910177297485,1,0,-0.23,0.28603002198824634
BTC,2025-11-20,1763096400,short,0.025210005690163406,1,0,-0.34,0.3142431449965311
BTC,2025-11-20,1763096400,long,0.044789994309836434,0,0,0.0,0.0
BTC,2025-11-20,1763096400,short,0.04072523602435829,1,0,-0.13,0.28158855790292214
BTC,2025-11-20,1763096400,long,0.02927476397564166,1,0,-0.22,0.3245356336759059
SOL,2025-11-20,1763097300,long,0.04809024082041402,0,0,0.0,0.0
ETH,2025-11-17,1763101800,long,0.021836220097327663,0,0,0.0,0.0
XRP,2025-11-18,1763109000,long,0.0395827293338431,0,0,0.0,0.0
XRP,2025-11-18,1763109000,long,0.03232202619715463,0,0,0.0,0.0
XRP,2025-11-18,1763109000,short,0.05067797380284522,0,0,0.0,0.0
