asset,slug,ts,event,n_ask,fv_seas,fv_flat,tte_d,label,ev_raw,ev_hedged
BTC,bitcoin-above-90k-on-january-8,1767890700,2026-01-08,0.93,0.9978288671782656,0.9996069943510651,0.01111111111111111,1,0.06544299999999996,0.0641598790027997
BTC,bitcoin-above-90k-on-january-9,1767973500,2026-01-09,0.967,0.9922538326851266,0.998614748918938,0.05277777777777778,1,0.030766230000000026,0.02687664945968775
BTC,bitcoin-above-92k-on-january-13,1768320000,2026-01-13,0.94,0.9987366234981946,0.9998876792357672,0.04236111111111111,1,0.056052000000000046,0.056140066042841844
ETH,ethereum-above-3200-on-january-16,1768554900,2026-01-16,0.932,0.9900663443483093,0.9939285272212043,0.3236111111111111,1,0.06356367999999996,0.07734884809178161
ETH,ethereum-above-2900-on-january-23,1769184000,2026-01-23,0.986,0.9960873293731509,0.9994166402112077,0.04236111111111111,1,0.01303372000000001,0.011506466178985948
SOL,solana-above-90-on-february-2,1770023700,2026-02-02,0.98,0.9960408130843358,0.9976749443017984,0.3236111111111111,1,0.018628000000000016,0.013722479226351766
SOL,solana-above-100-on-february-2,1770045300,2026-02-02,0.949,0.9960474827703567,0.9996326778110871,0.07361111111111111,1,0.04761207000000004,0.047418370124950406
SOL,solana-above-80-on-february-5,1770306300,2026-02-05,0.984,0.9950595347515659,0.9991656042239805,0.05277777777777778,1,0.014897920000000012,0.0152336550953877
ETH,ethereum-above-2000-on-february-7,1770480900,2026-02-07,0.97,0.9989400486468134,0.999897796333024,0.03194444444444444,1,0.027963000000000026,0.028085350955986316
ETH,ethereum-above-1900-on-february-9,1770643800,2026-02-09,0.968,0.9916625890365142,0.9992730804972896,0.14652777777777778,1,0.029831680000000027,0.027285342257515798
ETH,ethereum-above-1900-on-february-10,1770731100,2026-02-10,0.972,0.993334174777367,0.9995445461790317,0.1361111111111111,1,0.02609488000000002,0.026088069337164455
ETH,ethereum-above-1900-on-february-11,1770827400,2026-02-11,0.96,0.9906923812160447,0.997552563114543,0.021527777777777778,1,0.03731200000000003,0.049115635395822414
ETH,ethereum-above-1900-on-february-12,1770906600,2026-02-12,0.97,0.9903869740345163,0.9993187125989175,0.10486111111111111,1,0.027963000000000026,0.035062625328230526
XRP,xrp-above-1pt3-on-february-13,1770978600,2026-02-13,0.947,0.9920858011571859,0.9860746333028138,0.27152777777777776,1,0.049486630000000045,0.0014054402872270139
ETH,ethereum-above-1900-on-february-13,1770993900,2026-02-13,0.978,0.9953033051737822,0.9997595661725682,0.09444444444444444,1,0.02049388000000002,0.017907390866750878
BTC,bitcoin-above-68k-on-february-13,1770999300,2026-02-13,0.97,0.993532840385225,0.9986753792658509,0.03194444444444444,1,0.027963000000000026,0.030339678633932624
