asset,event,ts,n_strikes,ev_gapw,ev_best1
BTC,2026-01-14,1768000500,2,-0.2103864680591368,-0.3001166678535851
BTC,2026-01-15,1767972600,2,-0.017658938898352315,0.01433207053703317
BTC,2026-01-15,1768186800,1,-0.10855906440718366,-0.10855906440718366
BTC,2026-01-19,1768344300,1,-0.0003780393070941801,-0.0003780393070941801
BTC,2026-01-20,1768493700,1,0.035547921496541623,0.035547921496541623
BTC,2026-01-22,1768597200,2,0.18265530899362994,0.27208803764749717
BTC,2026-01-25,1769004900,1,-0.3871126397705857,-0.3871126397705857
BTC,2026-02-03,1769784300,1,0.06806107770702274,0.06806107770702274
BTC,2026-02-03,1769878800,1,-0.30581522704339226,-0.30581522704339226
BTC,2026-02-04,1769784300,1,0.5650273493311402,0.5650273493311402
BTC,2026-02-05,1769784300,1,1.0390803801757202,1.0390803801757202
BTC,2026-02-08,1770228000,3,0.16773091048019828,0.2623298020865233
BTC,2026-02-09,1770227100,3,0.17008083359160597,0.46251437382513527
BTC,2026-02-09,1770396300,3,-0.09264126018994556,-0.3512685008552915
BTC,2026-02-10,1770448500,2,-0.0008109470848177702,0.1967514944880686
BTC,2026-02-11,1770306300,2,0.41393983327595363,0.3629072091043551
BTC,2026-02-12,1770326100,4,0.2089687845800785,0.11719740676227994
BTC,2026-02-14,1770822000,3,0.1776747591152916,0.14851711181439647
BTC,2026-02-16,1770811200,3,0.08662306203733686,0.2848867331097581
BTC,2026-03-03,1772261100,3,-0.03030113556685285,-0.048334247185881085
BTC,2026-03-04,1772269200,3,-0.42597670151695155,-0.46200245487529157
BTC,2026-03-12,1772762400,2,0.02111814272726323,0.19481690243014976
BTC,2026-03-22,1773927900,1,-0.355972966598694,-0.355972966598694
BTC,2026-03-23,1773928800,2,0.19766603882301986,0.14429498935226773
BTC,2026-03-24,1773927900,3,0.1256671215525681,0.34420529044244647
BTC,2026-03-25,1773928800,3,0.10942254382801873,0.29698310333771133
BTC,2026-04-02,1774824300,2,0.23225719582994891,0.14174341013621083
BTC,2026-04-06,1775142000,3,0.04968416231205881,0.2613111499877676
BTC,2026-04-07,1775142000,3,0.2361701697837223,0.46603463278599405
BTC,2026-04-08,1775076300,3,0.1794928781900595,0.42887047631808406
BTC,2026-04-12,1775604600,1,-0.120846701793555,-0.120846701793555
BTC,2026-04-13,1775604600,2,-0.377511054665442,-0.47146442978162484
BTC,2026-04-14,1775599200,2,0.09996510724339022,0.4497832234173214
BTC,2026-04-18,1776267000,3,0.25758215104297044,0.19855563732213843
BTC,2026-04-21,1776489300,2,-0.34360259256605147,-0.20508461875874878
BTC,2026-04-23,1776700800,4,0.18640393065989544,0.24978747928057687
BTC,2026-04-27,1776947400,2,-0.2859138825846069,-0.34354789621479076
BTC,2026-05-03,1777516200,3,0.193771118636433,0.12506577680196668
BTC,2026-05-05,1777660200,2,0.1127623363969116,-0.07293183740080555
BTC,2026-05-10,1778094900,2,-0.30527025574751077,-0.43356683076251606
BTC,2026-05-11,1778112000,3,-0.23704785235560089,-0.432218045984065
BTC,2026-05-11,1778209200,2,0.11912790834057822,0.23615363479710277
