asset,event,ts,fside,overshoot,z,label,ev_raw,ev_hedged
BTC,2026-02-12,1770737400,no,0.06124965429458473,2.630329078062317,0,0.88,0.6136123696106746
BTC,2026-02-14,1770822000,yes,-0.0661138474904972,-4.852426685221893,1,0.45999999999999996,0.13601011181439643
BTC,2026-02-17,1771339500,yes,-0.11730391825523678,-3.7192753239690446,1,0.18699999999999994,0.13374612464274785
BTC,2026-02-18,1771339500,yes,-0.06955925980630073,-3.7192753239690446,1,0.32999999999999996,0.32884119189849265
BTC,2026-02-22,1771566300,no,0.050268455852213956,2.2599588744963706,1,-0.18000000000000005,-0.21188881485377253
BTC,2026-02-25,1771983900,no,0.08660529919048876,1.7656864793955156,1,-0.52,0.17763833493976633
BTC,2026-02-26,1771983900,no,0.06712459507702362,1.7656864793955156,1,-0.51,-0.33193293005798613
BTC,2026-02-28,1772288100,no,0.051414829955339234,2.3843859065096304,0,0.07899999999999996,0.10182251123537225
BTC,2026-03-01,1772327700,yes,-0.0545288477140321,-1.7110412385963987,1,0.43999999999999995,0.4721841700517913
BTC,2026-03-27,1774608300,yes,-0.06253595152352442,-3.1007117531087385,1,0.238,0.4734565529469272
BTC,2026-03-30,1774824300,yes,-0.06148125888989642,-4.1533353453894275,1,0.6499999999999999,0.22270228553651544
BTC,2026-04-02,1775092500,yes,-0.05691784034747327,-2.1826192381900964,0,-0.49,-0.16316036954601515
BTC,2026-04-05,1775403000,no,0.067923016740743,3.4652270180400193,0,0.06899999999999995,0.05670713237812584
BTC,2026-04-08,1775591100,no,0.0741291337517439,1.50607221550696,1,-0.30000000000000004,0.32799519585511683
BTC,2026-02-10,1770694200,yes,-0.05125052913406236,-2.1328003764794046,1,0.21999999999999997,0.23727507906732415
BTC,2026-02-13,1770993900,no,0.17846081057684243,1.6157142846333736,1,-0.6000000000000001,-0.06148030147479033
BTC,2026-02-14,1770993900,no,0.09045652672204185,1.6157142846333736,1,-0.56,-0.06024518748853602
BTC,2026-02-15,1770993900,no,0.08116974854813463,1.6157142846333736,1,-0.54,-0.24402437343114286
BTC,2026-02-15,1771163100,yes,-0.0887059392581977,-1.708595427144545,1,0.19999999999999996,0.17522517184059208
BTC,2026-02-16,1770993900,no,0.0554250507546431,1.6157142846333736,0,0.47,0.5496488154542646
BTC,2026-02-25,1772035200,no,0.05752847119989528,1.6209763044521648,1,-0.84,-0.5785620618745714
BTC,2026-02-26,1772117100,yes,-0.12745217544508602,-1.7538752688573183,0,-0.24000000000000002,0.32607328279767267
BTC,2026-02-27,1772117100,yes,-0.05602886824059927,-1.7538752688573183,0,-0.39,0.039091546775593955
BTC,2026-02-28,1772185500,yes,-0.06174505007727932,-2.044980661711254,0,-0.34,0.24281459566347735
BTC,2026-02-08,1770223500,yes,-0.0664299447925577,-2.894821328268158,1,0.15000000000000002,0.27306205041625914
BTC,2026-02-08,1770448500,yes,-0.05499506061805726,-5.742634555501314,1,0.5229999999999999,0.11990526750227043
BTC,2026-02-09,1770223500,yes,-0.05349301702188314,-2.894821328268158,1,0.16300000000000003,0.29829627467802666
BTC,2026-02-09,1770327000,yes,-0.05559348809587422,-1.7026972003064706,1,0.717,0.4190813123376812
BTC,2026-02-09,1770593400,yes,-0.07861596160519768,-2.3156966962866052,1,0.20799999999999996,0.23142600189658546
BTC,2026-03-01,1772330400,no,0.11843128599249797,4.493473969234612,0,0.42399999999999993,0.1509770460149621
BTC,2026-03-22,1774137600,yes,-0.06433172408477539,-4.833749225115395,1,0.28200000000000003,0.30057434630556684
BTC,2026-03-31,1774965600,no,0.06996335105955145,2.3222399652341084,0,0.21999999999999997,0.07670270732549536
BTC,2026-03-06,1772805600,yes,-0.08485176915437542,-3.1876528383307523,1,0.23399999999999999,0.3604907778695928
BTC,2026-04-12,1775747700,no,0.053625966173488915,2.2398700517513186,1,-0.24,-0.30669190468676477
BTC,2026-04-13,1776031200,yes,-0.07242460258451966,-1.6250330366718364,1,0.25,0.1582482076566544
BTC,2026-04-14,1775750400,no,0.0549005181478569,4.077218979699833,1,-0.21999999999999997,0.0812430833523538
BTC,2026-04-14,1776031200,yes,-0.05435800071020147,-1.6250330366718364,1,0.30999999999999994,-0.25021724392667233
BTC,2026-04-06,1775466900,no,0.05095119969372261,1.7670761993279531,0,0.356,0.49643087960544996
BTC,2026-02-10,1770593400,yes,-0.050934553603677934,-2.3156966962866052,0,-0.52,-0.3947017910904218
BTC,2026-02-10,1770737400,no,0.051757409026703144,2.630329078062317,0,0.18999999999999995,0.24717826451612734
BTC,2026-02-12,1770327000,yes,-0.27475324293113923,-1.7026972003064706,0,-0.23,-0.29407697070007977
BTC,2026-02-13,1770995700,no,0.06072854586296039,2.1938270783341745,0,0.07799999999999996,0.08054669078888162
BTC,2026-02-08,1770244200,no,0.05035963081846606,2.2725913504314916,1,-0.20199999999999996,-0.3943802201556892
BTC,2026-02-08,1770399000,no,0.06760971043894548,3.8689019019242816,1,-0.34299999999999997,-0.38327758261009603
BTC,2026-02-09,1770256800,yes,-0.05376674271880111,-2.086374153183563,1,0.30200000000000005,0.45515450693003656
BTC,2026-02-09,1770655500,no,0.3823032024339488,2.7725623694092487,1,-0.21299999999999997,0.2919042818875459
BTC,2026-03-11,1773242100,yes,-0.05385085120517963,-2.71223384206623,1,0.42999999999999994,0.31784382570797154
BTC,2026-03-13,1773324900,no,0.0547861464515782,1.7880740092062186,1,-0.4,-0.11896567524729185
BTC,2026-03-14,1773324900,no,0.06281604390990791,1.7880740092062186,1,-0.41000000000000003,-0.3812150132761278
BTC,2026-03-19,1773928800,no,0.06254468265834001,2.788236246658204,0,0.5599999999999999,0.2780720483588941
