asset,slug,ts,event,entry,fv,fv_sea,tte_d,label,ev_raw,ev_hedged
SOL,solana-above-210-on-october-28,1761647400,2025-10-28,0.97,0.00468888233798249,0.009107183561011735,0.2298611111111111,0,0.027963000000000026,0.01595527373807238
XRP,xrp-above-2pt6-on-october-30,1761828300,2025-10-30,0.99,0.002206391289064484,0.006295434841164638,0.1361111111111111,0,0.009307000000000008,0.0017502519216807018
BTC,bitcoin-above-112k-on-november-1,1761984900,2025-11-01,0.975,0.0017099531954158618,0.001563257650246612,0.3236111111111111,0,0.02329375000000002,0.024216213805822485
SOL,solana-above-170-on-november-4,1762263000,2025-11-04,0.95,0.0008277274449169026,0.00900414678208211,0.14652777777777778,0,0.04667500000000004,0.04363812437496172
ETH,ethereum-above-3500-on-november-5,1762337700,2025-11-05,0.978,0.004481316628184521,0.009928159115758659,0.28194444444444444,0,0.02049388000000002,0.04382792602414792
BTC,bitcoin-above-106k-on-november-6,1762431300,2025-11-06,0.986,0.0025767850701741866,0.009101056077933562,0.1986111111111111,0,0.01303372000000001,-0.004094917748638646
ETH,ethereum-above-3500-on-november-7,1762507800,2025-11-07,0.986,0.0012760167399636301,0.0076750174778582375,0.31319444444444444,0,0.01303372000000001,0.012826438796083067
BTC,bitcoin-above-104k-on-november-8,1762593300,2025-11-08,0.96,0.0029269282901141455,0.003307794635003235,0.3236111111111111,0,0.03731200000000003,0.029280699107274443
ETH,ethereum-above-3600-on-november-9,1762700400,2025-11-09,0.973,0.006200855113019701,0.004630805385240017,0.08402777777777778,0,0.02516103000000002,0.036834138144581946
ETH,ethereum-above-3800-on-november-10,1762766100,2025-11-10,0.98,0.004060820159018951,0.009771421766326395,0.3236111111111111,0,0.018628000000000016,0.007202154415383922
BTC,bitcoin-above-106k-on-november-13,1763028900,2025-11-13,0.974,0.005126054062033353,0.008841763991694023,0.28194444444444444,0,0.02422732000000002,-0.008638168078549908
BTC,bitcoin-above-100k-on-november-14,1763122500,2025-11-14,0.97,0.0005447054360439127,0.009129677228524426,0.1986111111111111,0,0.027963000000000026,0.03034242352643624
XRP,xrp-above-2pt4-on-november-14,1763126100,2025-11-14,0.977,0.0002850234511309972,0.009121952485613368,0.15694444444444444,0,0.02142703000000002,0.023211223690798918
BTC,bitcoin-above-98k-on-november-15,1763199000,2025-11-15,0.956,0.007185116348117275,0.00810596188092144,0.31319444444444444,0,0.04105552000000004,0.04812386508200778
ETH,ethereum-above-3300-on-november-15,1763205300,2025-11-15,0.969,0.0006513925783659596,0.0011352344056529775,0.24027777777777778,0,0.028897270000000027,0.03028629003129697
ETH,ethereum-above-3300-on-november-16,1763292600,2025-11-16,0.972,0.009715482644653236,0.0050660430852250945,0.2298611111111111,0,0.02609488000000002,-0.03032619037958647
BTC,bitcoin-above-98k-on-november-16,1763293500,2025-11-16,0.97,0.015967131155358555,0.006774558235756695,0.21944444444444444,0,0.027963000000000026,-0.02146394470170856
BTC,bitcoin-above-98k-on-november-17,1763385300,2025-11-17,0.969,0.0003555938883489527,0.007227761205032556,0.15694444444444444,0,0.028897270000000027,0.027904667491683903
ETH,ethereum-above-3200-on-november-19,1763561700,2025-11-19,0.97,0.0006808252466363259,0.008743564102122264,0.11527777777777777,0,0.027963000000000026,0.021913309584892616
ETH,ethereum-above-3100-on-november-19,1763567100,2025-11-19,0.99,0.0008217650680919294,0.008169647406581711,0.05277777777777778,0,0.009307000000000008,0.0048712076480967184
ETH,ethereum-above-3100-on-november-20,1763648100,2025-11-20,0.91,0.0008415769365554274,0.008426098243997,0.11527777777777777,0,0.08426699999999997,0.07606425076895039
BTC,bitcoin-above-94k-on-november-20,1763648100,2025-11-20,0.96,0.0003873963780162374,0.005317052379186951,0.11527777777777777,0,0.03731200000000003,0.03265362539206812
ETH,ethereum-above-2800-on-november-22,1763807400,2025-11-22,0.97,0.006594155024506564,0.008186279861410944,0.27152777777777776,0,0.027963000000000026,0.04776317055391928
BTC,bitcoin-above-86k-on-november-22,1763809200,2025-11-22,0.913,0.0019159681045626906,0.003055088988991989,0.25069444444444444,0,0.08143982999999996,0.08834382903419284
ETH,ethereum-above-3000-on-november-26,1764171900,2025-11-26,0.97,0.00022473974586345813,0.0036993160179952197,0.05277777777777778,0,0.027963000000000026,0.02905781218571326
BTC,bitcoin-above-92k-on-november-29,1764407700,2025-11-29,0.957,0.0048016181857068125,0.00537704939516244,0.3236111111111111,0,0.04011943000000003,0.05273097194678329
ETH,ethereum-above-3200-on-december-3,1764774000,2025-12-03,0.979,0.00022806929205479678,0.0041053330093136445,0.08402777777777778,0,0.01956087000000002,0.01998221047702712
ETH,ethereum-above-3100-on-december-6,1765030500,2025-12-06,0.979,0.0008479480282408833,0.0030553384648391714,0.11527777777777777,0,0.01956087000000002,0.022025594345521454
ETH,ethereum-above-3100-on-december-7,1765123200,2025-12-07,0.979,0.003480535169142599,0.002196025545885253,0.04236111111111111,0,0.01956087000000002,0.02337673812213588
BTC,bitcoin-above-92k-on-december-11,1765465200,2025-12-11,0.96,7.617142216313985e-05,0.0024581059124794565,0.08402777777777778,0,0.03731200000000003,0.03741381487627036
ETH,ethereum-above-3200-on-december-12,1765554300,2025-12-12,0.99,0.00012202745699658893,0.008032859501365399,0.05277777777777778,0,0.009307000000000008,0.008507869600541146
ETH,ethereum-above-3200-on-december-13,1765617300,2025-12-13,0.968,0.006780896099959649,0.007087854525939047,0.3236111111111111,0,0.029831680000000027,0.020450529571852546
BTC,bitcoin-above-92k-on-december-13,1765617300,2025-12-13,0.964,0.002112955396914841,0.0024112807961738413,0.3236111111111111,0,0.03357072000000003,0.026910845161009896
ETH,ethereum-above-3100-on-december-15,1765813500,2025-12-15,0.98,0.0006960656295182276,0.009124973731794177,0.05277777777777778,0,0.018628000000000016,0.016418486306209516
BTC,bitcoin-above-90k-on-december-17,1765980000,2025-12-17,0.986,0.0006179551745191785,0.008818444555546801,0.12569444444444444,0,0.01303372000000001,0.010606334500405693
ETH,ethereum-above-3100-on-december-17,1765983600,2025-12-17,0.9299999999999999,0.0005535965432347323,0.007118084756223958,0.08402777777777778,0,0.06544300000000006,0.056902564736285965
BTC,bitcoin-above-92k-on-december-17,1765983600,2025-12-17,0.931,0.00016867741281407397,0.004276849388192798,0.08402777777777778,0,0.06450326999999995,0.06129964421203341
SOL,solana-above-130-on-december-17,1765987200,2025-12-17,0.99,0.0016906441854691175,0.008650782647091237,0.04236111111111111,0,0.009307000000000008,-0.0005049219519494379
ETH,ethereum-above-3000-on-december-18,1766060100,2025-12-18,0.966,0.002400639293460836,0.008987397289190806,0.1986111111111111,0,0.03170092000000003,0.04546995412957029
ETH,ethereum-above-3100-on-december-18,1766067300,2025-12-18,0.973,0.00017676813830032215,0.003144884641912201,0.11527777777777777,0,0.02516103000000002,0.025222675082447295
ETH,ethereum-above-3100-on-december-21,1766313000,2025-12-21,0.975,0.018993045632379437,0.009908617714265686,0.27152777777777776,0,0.02329375000000002,0.004303275183827501
ETH,ethereum-above-3100-on-december-30,1767086100,2025-12-30,0.97,0.0038303155859478032,0.00813301624009115,0.3236111111111111,0,0.027963000000000026,0.029911655924926762
SOL,solana-above-130-on-december-30,1767094200,2025-12-30,0.969,0.0026491405684555894,0.009777706371666113,0.2298611111111111,0,0.028897270000000027,0.03535440944760854
ETH,ethereum-above-3100-on-december-31,1767188700,2025-12-31,0.97,7.261425051403605e-05,0.001770796276969385,0.1361111111111111,0,0.027963000000000026,0.027722098599847415
SOL,solana-above-140-on-january-5,1767619800,2026-01-05,0.99,0.0005338313400355094,0.007315308706652573,0.14652777777777778,0,0.009307000000000008,0.010452625008353892
BTC,bitcoin-above-94k-on-january-13,1768318200,2026-01-13,0.926,0.00017660385491622384,0.006139173148510707,0.06319444444444444,0,0.06920331999999996,0.07073098087777512
ETH,ethereum-above-3400-on-january-14,1768391100,2026-01-14,0.969,0.0026923176178157366,0.009141439801003893,0.21944444444444444,0,0.028897270000000027,0.04830337611312807
BTC,bitcoin-above-98k-on-january-15,1768488300,2026-01-15,0.97,0.0008941733099246025,0.009369421223648,0.09444444444444444,0,0.027963000000000026,0.03292937772584439
BTC,bitcoin-above-96k-on-january-16,1768578300,2026-01-16,0.984,0.00014901524969432702,0.009855439780107882,0.05277777777777778,0,0.014897920000000012,0.015316602187675511
BTC,bitcoin-above-96k-on-january-18,1768748400,2026-01-18,0.966,0.011960174984776155,0.006405855088455188,0.08402777777777778,0,0.03170092000000003,0.04684790528729289
ETH,ethereum-above-3300-on-january-19,1768829400,2026-01-19,0.966,0.0008472687363274044,0.009006585593378448,0.14652777777777778,0,0.03170092000000003,0.03259162029175007
ETH,ethereum-above-3100-on-january-21,1769005800,2026-01-21,0.987,5.993479055229756e-05,0.0020983180350408175,0.10486111111111111,0,0.012101830000000011,0.0115036189197556
ETH,ethereum-above-3100-on-january-22,1769080500,2026-01-22,0.983,0.003847960013399567,0.009354607687703305,0.24027777777777778,0,0.015830230000000015,-0.0033118990127834792
BTC,bitcoin-above-92k-on-january-22,1769089500,2026-01-22,0.968,0.000674492381387407,0.006226425768528803,0.1361111111111111,0,0.029831680000000027,0.027600217534565243
ETH,ethereum-above-3000-on-january-23,1769184900,2026-01-23,0.99,0.00013556127814208155,0.007578891356433348,0.03194444444444444,0,0.009307000000000008,0.009710482447578302
ETH,ethereum-above-3000-on-january-24,1769256000,2026-01-24,0.975,0.004753929392283223,0.007858521743932544,0.20902777777777776,0,0.02329375000000002,0.021742835761440427
BTC,bitcoin-above-90k-on-january-24,1769266800,2026-01-24,0.985,0.002761958402291961,0.006185910706204302,0.08402777777777778,0,0.013965750000000013,0.0055064620077920935
ETH,ethereum-above-2900-on-january-29,1769699700,2026-01-29,0.944,0.00013854003771249362,0.0034178745016703836,0.07361111111111111,0,0.052299520000000044,0.052911046850236156
SOL,solana-above-120-on-january-29,1769704200,2026-01-29,0.99,1.9624593825962873e-05,0.0005382441728778758,0.021527777777777778,0,0.009307000000000008,0.009518236575414108
BTC,bitcoin-above-84k-on-january-31,1769869800,2026-01-31,0.987,2.466269863683631e-05,0.00015531538410828842,0.10486111111111111,0,0.012101830000000011,0.011878477167194729
BTC,bitcoin-above-82k-on-february-1,1769941800,2026-02-01,0.971,0.009415403027601896,0.00280813891329549,0.27152777777777776,0,0.027028870000000024,-0.006103431587365135
ETH,ethereum-above-2500-on-february-1,1769942700,2026-02-01,0.968,0.01626013953081998,0.008115115154906411,0.2611111111111111,0,0.029831680000000027,-0.030874187459805386
BTC,bitcoin-above-80k-on-february-1,1769958000,2026-02-01,0.98,0.009372078159091248,0.004755610159198473,0.08402777777777778,0,0.018628000000000016,-0.005462057643864933
ETH,ethereum-above-2400-on-february-1,1769959800,2026-02-01,0.978,0.0015403101126542985,0.0009742772761331841,0.06319444444444444,0,0.02049388000000002,0.020133578059463125
ETH,ethereum-above-2500-on-february-2,1770025500,2026-02-02,0.967,0.0009260583749981157,0.003488755366689739,0.30277777777777776,0,0.030766230000000026,0.034398278002061786
SOL,solana-above-110-on-february-2,1770036300,2026-02-02,0.96,0.001233205840954547,0.009280375004854765,0.17777777777777776,0,0.03731200000000003,0.040862314874132805
BTC,bitcoin-above-82k-on-february-3,1770110100,2026-02-03,0.98,0.000641242776254551,0.0021680448430100776,0.3236111111111111,0,0.018628000000000016,0.014976610808692293
SOL,solana-above-100-on-february-5,1770284700,2026-02-05,0.968,0.005400760854453856,0.007812807820004361,0.30277777777777776,0,0.029831680000000027,-0.006471705823049297
BTC,bitcoin-above-72k-on-february-7,1770455700,2026-02-07,0.963,0.0064998851566453126,0.0072575831967327505,0.3236111111111111,0,0.03450583000000003,0.03779062593431467
SOL,solana-above-90-on-february-7,1770474600,2026-02-07,0.978,0.0027336942634113653,0.0022038956184037687,0.10486111111111111,0,0.02049388000000002,0.025736869114778415
ETH,ethereum-above-2100-on-february-7,1770480900,2026-02-07,0.9390000000000001,0.0009740078192961801,0.006222735644906052,0.03194444444444444,0,0.056990469999999946,0.05591881593190486
ETH,ethereum-above-2100-on-february-10,1770736500,2026-02-10,0.974,0.00010629306406851604,0.003976394188331629,0.07361111111111111,0,0.02422732000000002,0.02448160953390582
BTC,bitcoin-above-72k-on-february-14,1771060500,2026-02-14,0.975,0.0012311746647416543,0.0014386126406567452,0.3236111111111111,0,0.02329375000000002,0.02330840676879056
ETH,ethereum-above-2100-on-february-15,1771160400,2026-02-15,0.965,0.001912289660759475,0.0011809606138992893,0.16736111111111113,0,0.032635750000000026,0.03163961496346908
ETH,ethereum-above-2100-on-february-16,1771234200,2026-02-16,0.971,0.0017098189148989696,0.005130754446841281,0.31319444444444444,0,0.027028870000000024,0.024943954493007122
BTC,bitcoin-above-70k-on-february-17,1771338600,2026-02-17,0.99,0.00040689221858165094,0.009316856297677388,0.10486111111111111,0,0.009307000000000008,0.007907936773788607
BTC,bitcoin-above-70k-on-february-18,1771411500,2026-02-18,0.975,0.002373344753261699,0.007580086971077418,0.2611111111111111,0,0.02329375000000002,0.016180804963910125
BTC,bitcoin-above-68k-on-february-18,1771431300,2026-02-18,0.978,0.0009339396894944587,0.009390966659023002,0.03194444444444444,0,0.02049388000000002,0.020922067613285397
BTC,bitcoin-above-68k-on-february-19,1771508700,2026-02-19,0.965,0.0006255790857206471,0.00655734263128594,0.1361111111111111,0,0.032635750000000026,0.033940747581908716
ETH,ethereum-above-2000-on-february-19,1771511400,2026-02-19,0.983,0.0007925845255611474,0.008796375828352717,0.10486111111111111,0,0.015830230000000015,0.01531915886767636
ETH,ethereum-above-2000-on-february-21,1771690500,2026-02-21,0.98,0.00124769998789036,0.007166009148383283,0.03194444444444444,0,0.018628000000000016,0.022497345900112764
BTC,bitcoin-above-68k-on-february-25,1772022600,2026-02-25,0.972,0.0005265466584178256,0.004351330380456382,0.18819444444444447,1,-0.97390512,-0.9651154628490942
BTC,bitcoin-above-66k-on-february-28,1772290800,2026-02-28,0.978,0.0004664495384120722,0.0014918379743414816,0.08402777777777778,0,0.02049388000000002,0.022928225346098077
ETH,ethereum-above-2100-on-march-1,1772356500,2026-03-01,0.967,0.008426626488506022,0.00308746558415394,0.3236111111111111,0,0.030766230000000026,0.02201332518571996
SOL,solana-above-90-on-march-1,1772356500,2026-03-01,0.95,0.011235816551563301,0.005204516118432906,0.3236111111111111,0,0.04667500000000004,0.018422786371596396
SOL,solana-above-90-on-march-3,1772530200,2026-03-03,0.969,0.0029911268474666543,0.006799127401910968,0.31319444444444444,0,0.028897270000000027,0.03270059238921314
BTC,bitcoin-above-70k-on-march-3,1772532000,2026-03-03,0.977,0.003339874365071794,0.009534111703858733,0.2923611111111111,0,0.02142703000000002,0.033311415121062865
BTC,bitcoin-above-74k-on-march-4,1772635500,2026-03-04,0.97,0.00020949366192304718,0.005336686636401992,0.09444444444444444,0,0.027963000000000026,0.030022930686095513
BTC,bitcoin-above-76k-on-march-5,1772713800,2026-03-05,0.972,0.000748738129989581,0.004110993295868374,0.18819444444444447,0,0.02609488000000002,0.021598714384333608
BTC,bitcoin-above-70k-on-march-7,1772874900,2026-03-07,0.964,0.0023188954309629737,0.0026427643894606067,0.3236111111111111,0,0.03357072000000003,0.031126916389667834
BTC,bitcoin-above-70k-on-march-8,1772966700,2026-03-08,0.965,0.023432273395116516,0.008394742800005382,0.21944444444444444,0,0.032635750000000026,-0.010467556993853377
BTC,bitcoin-above-74k-on-march-10,1773130500,2026-03-10,0.976,0.0029616271646020357,0.005149719262487354,0.3236111111111111,0,0.02236032000000002,0.026476861542820078
BTC,bitcoin-above-72k-on-march-11,1773221400,2026-03-11,0.964,0.004796362823980989,0.009058340772034114,0.27152777777777776,0,0.03357072000000003,0.04475806643970217
BTC,bitcoin-above-72k-on-march-12,1773307800,2026-03-12,0.928,0.005861652662769848,0.007334268508249642,0.27152777777777776,0,0.06732287999999996,0.07862886670658183
BTC,bitcoin-above-72k-on-march-14,1773477900,2026-03-14,0.967,0.010199120306010038,0.009443545520679202,0.30277777777777776,0,0.030766230000000026,0.031461678535191294
BTC,bitcoin-above-76k-on-march-16,1773650700,2026-03-16,0.972,0.003587510354202095,0.009262129150953464,0.30277777777777776,0,0.02609488000000002,0.029707848050265002
ETH,ethereum-above-2400-on-march-18,1773834300,2026-03-18,0.984,0.0015069678692994654,0.006140126921153333,0.17777777777777776,0,0.014897920000000012,0.003141368178371644
BTC,bitcoin-above-76k-on-march-18,1773834300,2026-03-18,0.986,0.0005645191735149025,0.0036497080549229262,0.17777777777777776,0,0.01303372000000001,0.008994095041966816
ETH,ethereum-above-2200-on-march-21,1774096200,2026-03-21,0.988,0.0032913188280180535,0.004907860610513434,0.14652777777777778,0,0.01117008000000001,0.005721938250017176
ETH,ethereum-above-2300-on-march-23,1774264500,2026-03-23,0.985,0.000831440320032166,0.00456783108902792,0.1986111111111111,0,0.013965750000000013,0.010890514698837873
BTC,bitcoin-above-74k-on-march-25,1774443600,2026-03-25,0.98,0.0003077226315978897,0.004984294365792972,0.12569444444444444,0,0.018628000000000016,0.017073101620081674
BTC,bitcoin-above-68k-on-march-28,1774705500,2026-03-28,0.986,0.0003922147349590956,0.001209232870460409,0.09444444444444444,0,0.01303372000000001,0.013416970558838335
BTC,bitcoin-above-74k-on-april-8,1775638800,2026-04-08,0.959,0.005533185550682742,0.009176589125123012,0.2923611111111111,0,0.03824767000000003,0.028031757546639266
ETH,ethereum-above-2300-on-april-11,1775895300,2026-04-11,0.969,0.0077663388880810065,0.006316832545862589,0.3236111111111111,0,0.028897270000000027,0.04116677403331667
BTC,bitcoin-above-74k-on-april-11,1775898000,2026-04-11,0.966,0.010442165511968086,0.009525218201347503,0.2923611111111111,0,0.03170092000000003,0.04220673621064168
BTC,bitcoin-above-78k-on-april-18,1776501000,2026-04-18,0.958,0.009650762677717728,0.009034837374980101,0.31319444444444444,0,0.039183480000000034,0.005388905679319503
SOL,solana-above-90-on-april-18,1776501900,2026-04-18,0.95,0.022690542300794952,0.003780784761230128,0.30277777777777776,0,0.04667500000000004,0.021802442885155864
XRP,xrp-above-1pt5-on-april-22,1776846600,2026-04-22,0.97,0.011116430804441782,0.00830143625830332,0.31319444444444444,0,0.027963000000000026,0.034502849258388216
BTC,bitcoin-above-80k-on-april-22,1776871800,2026-04-22,0.984,7.320225151485066e-05,0.005637553544136175,0.021527777777777778,0,0.014897920000000012,0.015220318613757307
ETH,ethereum-above-2400-on-april-26,1777191300,2026-04-26,0.961,0.013245178049571458,0.004414878403688171,0.3236111111111111,0,0.03637647000000003,0.05486768579937905
BTC,bitcoin-above-80k-on-april-27,1777278600,2026-04-27,0.969,0.0024303839265742066,0.006391552217955592,0.31319444444444444,0,0.028897270000000027,0.019926811240509813
ETH,ethereum-above-2400-on-april-27,1777284000,2026-04-27,0.96,0.0036684659888897423,0.009401590246184621,0.25069444444444444,0,0.03731200000000003,0.014846368757202168
BTC,bitcoin-above-78k-on-april-28,1777375800,2026-04-28,0.964,0.0017741761594195376,0.008209164716490353,0.18819444444444447,0,0.03357072000000003,0.030489988869922078
BTC,bitcoin-above-80k-on-may-3,1777810500,2026-05-03,0.973,0.013289855787357162,0.005416323841769806,0.15694444444444444,0,0.02516103000000002,0.011617278438219927
ETH,ethereum-above-2400-on-may-4,1777902300,2026-05-04,0.98,0.00041387789274755204,0.009023385114551792,0.09444444444444444,0,0.018628000000000016,0.020054448240500816
