asset,event,slug,ts,entry,ev_raw,ev_hedged,label
ETH,2026-05-24,ethereum-above-2100-on-may-24-2026,1779478200,0.22,-0.22,-0.32404278234785533,0
BTC,2026-05-24,bitcoin-above-74k-on-may-24-2026,1779478200,0.903,0.09699999999999998,0.08688565870844835,1
BTC,2026-05-27,bitcoin-above-74k-on-may-27-2026,1779478200,0.76,0.24,0.33405193628860924,1
ETH,2026-05-24,ethereum-above-2000-on-may-24-2026,1779478200,0.92,0.07999999999999996,0.05778923122994298,1
ETH,2026-05-23,ethereum-above-2000-on-may-23-2026,1779478200,0.952,0.04800000000000004,0.0812930310431928,1
BTC,2026-05-25,bitcoin-above-74k-on-may-25-2026,1779478200,0.869,0.131,-0.005322418354836822,1
BTC,2026-05-26,bitcoin-above-74k-on-may-26-2026,1779478200,0.8200000000000001,0.17999999999999994,0.15656889158021003,1
ETH,2026-05-26,ethereum-above-2000-on-may-26-2026,1779482700,0.81,0.18999999999999995,0.1413990542565147,1
ETH,2026-05-25,ethereum-above-2100-on-may-25-2026,1779491700,0.34,0.6599999999999999,0.35172108381166156,1
ETH,2026-05-27,ethereum-above-2200-on-may-27-2026,1779590700,0.2,-0.2,-0.048163959082292984,0
BTC,2026-05-27,bitcoin-above-78k-on-may-27-2026,1779590700,0.32,-0.32,-0.11287370535951513,0
BTC,2026-05-26,bitcoin-above-76k-on-may-26-2026,1779591600,0.66,0.33999999999999997,0.3981590597175194,1
BTC,2026-05-28,bitcoin-above-76k-on-may-28-2026,1779592500,0.63,-0.63,-0.0994414598443697,0
BTC,2026-05-28,bitcoin-above-78k-on-may-28-2026,1779596100,0.33,-0.33,0.1830360614494861,0
ETH,2026-05-26,ethereum-above-2200-on-may-26-2026,1779606000,0.152,-0.152,-0.01451194673642442,0
BTC,2026-05-27,bitcoin-above-76k-on-may-27-2026,1779634800,0.59,-0.59,-0.4112632895182483,0
ETH,2026-05-25,ethereum-above-2100-on-may-25-2026,1779675300,0.55,0.44999999999999996,0.26045897926242123,1
BTC,2026-05-28,bitcoin-above-78k-on-may-28-2026,1779685200,0.4,-0.4,0.35917083576746023,0
ETH,2026-05-28,ethereum-above-2200-on-may-28-2026,1779724800,0.15000000000000002,-0.15000000000000002,0.31597141634475817,0
ETH,2026-05-26,ethereum-above-2100-on-may-26-2026,1779748200,0.59,-0.59,-0.3174171092261213,0
ETH,2026-05-27,ethereum-above-2100-on-may-27-2026,1779792300,0.73,-0.73,-0.3370412090072552,0
ETH,2026-05-28,ethereum-above-2100-on-may-28-2026,1779792300,0.68,-0.68,0.08182592743324157,0
ETH,2026-05-31,ethereum-above-2100-on-may-31-2026,1779826500,0.39,-0.39,-0.13852823019550242,0
BTC,2026-05-31,bitcoin-above-78k-on-may-31-2026,1779826500,0.23,-0.23,0.05594620707166745,0
ETH,2026-05-29,ethereum-above-2100-on-may-29-2026,1779826500,0.36,-0.36,-0.1470735473775617,0
BTC,2026-06-01,bitcoin-above-78k-on-june-1-2026,1779837300,0.23,-0.23,0.27629216246588284,0
BTC,2026-06-02,bitcoin-above-78k-on-june-2-2026,1779839100,0.25,-0.25,0.6731156903075238,0
BTC,2026-06-02,bitcoin-above-76k-on-june-2-2026,1779839100,0.5,-0.5,0.6093321751899312,0
ETH,2026-05-30,ethereum-above-2200-on-may-30-2026,1779843600,0.06999999999999999,-0.06999999999999999,0.045657981149884036,0
ETH,2026-05-31,ethereum-above-2200-on-may-31-2026,1779844500,0.09,-0.09,0.05451169203615844,0
BTC,2026-05-29,bitcoin-above-76k-on-may-29-2026,1779855300,0.42,-0.42,-0.07195546396450925,0
XRP,2026-05-30,xrp-above-1pt4-on-may-30-2026,1779885000,0.11,-0.11,-0.13242365472253376,0
BTC,2026-06-02,bitcoin-above-74k-on-june-2-2026,1779894900,0.66,-0.66,0.2780625795478793,0
