slug,K,T_pm,ts,bid,bid_sz,ask,ask_sz,result_id,fv,sigma,x,S_idx,S_bin,extrap,tte_d,label,asset,mid,spread,dt,date,S_T,n_bid,n_ask,n_bid_sz,n_ask_sz,n_mid,n_ts,exp_dt,is_test,event,gap_yes,gap_no,delta,ret_T,ev_raw,ev_hedged,entry
xrp-above-1pt4-on-may-23-2026,1.4,1779552060,1779464700,0.019,873.0,0.04,15.0,1,0.09344125080974924,0.4849095358856369,0.03281839465973316,1.3556,1.3548,1,1.011111111111111,0,XRP,0.0295,0.021,2026-05-22 15:45:00+00:00,2026-05-22,1.3364,0.018,0.04,499.0,15.0,0.028999999999999998,1779465600.0,2026-05-23 16:01:00+00:00,True,2026-05-23,0.05344125080974924,-0.07444125080974924,6.726344466529781,-0.013674410461015177,-0.042688000000000004,0.04929079513750638,0.04
xrp-above-1pt4-on-may-24-2026,1.4,1779638460,1779464700,0.07,5100.0,0.09,3232.79,1,0.1686076066837994,0.4849095358856369,0.03281839465973316,1.3556,1.3548,1,2.011111111111111,0,XRP,0.08,0.01999999999999999,2026-05-22 15:45:00+00:00,2026-05-22,1.348,0.05,0.16,10.05,304.55,0.10500000000000001,1779465600.0,2026-05-24 16:01:00+00:00,True,2026-05-24,0.0786076066837994,-0.09860760668379939,7.193850305992969,-0.0050318294713642695,-0.169408,-0.13320977201772172,0.16
bitcoin-above-78k-on-may-25-2026,78000.0,1779724860,1779470100,0.25,298.0,0.26,617.0,1,0.31281688231510707,0.2178251286807705,0.009980980609718408,76893.32,76962.78,0,2.948611111111111,0,BTC,0.255,0.010000000000000009,2026-05-22 17:15:00+00:00,2026-05-22,77614.07,0.25,0.26,606.08,402.0,0.255,1779471000.0,2026-05-25 16:01:00+00:00,True,2026-05-25,0.05281688231510706,-0.06281688231510707,16.02089892407233,0.00842679682052158,-0.273468,-0.4084728601152703,0.26
bitcoin-above-76k-on-may-25-2026,76000.0,1779724860,1779473700,0.72,5620.0,0.73,301.0,0,0.7842638683031794,0.22918645627940834,-0.014115636755472491,76733.69,76821.92,0,2.9069444444444446,1,BTC,0.725,0.010000000000000009,2026-05-22 18:15:00+00:00,2026-05-22,77614.07,0.72,0.73,6.05,7221.0,0.725,1779474600.0,2026-05-25 16:01:00+00:00,True,2026-05-25,0.05426386830317942,-0.06426386830317943,17.076615014400225,0.010258709089982753,0.256203,0.08101897432563646,0.73
bitcoin-above-76k-on-may-24-2026,76000.0,1779638460,1779475500,0.58,250.0,0.59,490.0,0,0.790556109435497,0.18871239171867765,-0.009904661620700276,76327.01,76589.0,0,1.8861111111111113,1,BTC,0.585,0.010000000000000009,2026-05-22 18:45:00+00:00,2026-05-22,76388.0,0.71,0.72,120.0,7605.0,0.715,1779476400.0,2026-05-24 16:01:00+00:00,True,2026-05-24,0.20055610943549707,-0.21055610943549707,25.107933997917545,-0.0026278475283015306,0.265888,0.3318678222971856,0.72
bitcoin-above-74k-on-may-25-2026,74000.0,1779724860,1779478200,0.859,110.0,0.872,6309.0,0,0.9413198525323179,0.2744769273756045,-0.03337725355237706,75878.04,76259.51,0,2.8548611111111115,1,BTC,0.8654999999999999,0.013000000000000012,2026-05-22 19:30:00+00:00,2026-05-22,77614.07,0.85,0.859,271.4,8.0,0.8545,1779479100.0,2026-05-25 16:01:00+00:00,True,2026-05-25,0.06931985253231787,-0.08231985253231788,7.742690130406171,0.0176065961647474,0.13252167,-0.0038007483548368193,0.859
ethereum-above-2000-on-may-25-2026,2000.0,1779724860,1779478200,0.84,4200.0,0.879,5000.0,0,0.9373493926190353,0.36922521800253044,-0.04198765913093554,2072.22,2085.52,0,2.8548611111111115,1,ETH,0.8594999999999999,0.039000000000000035,2026-05-22 19:30:00+00:00,2026-05-22,2127.12,0.826,0.878,5000.0,4200.0,0.852,1779479100.0,2026-05-25 16:01:00+00:00,True,2026-05-25,0.05834939261903527,-0.0973493926190353,5.482454174855138,0.019750727480863567,0.11450188,0.006219421666113431,0.878
ethereum-above-2100-on-may-24-2026,2100.0,1779638460,1779478200,0.21,422.0,0.23,20.0,1,0.34597196564139,0.251814026402997,0.00684335292954691,2072.22,2085.52,0,1.854861111111111,0,ETH,0.22,0.020000000000000018,2026-05-22 19:30:00+00:00,2026-05-22,2096.1,0.21,0.22,4750.0,7.05,0.215,1779479100.0,2026-05-24 16:01:00+00:00,True,2026-05-24,0.11597196564138998,-0.13597196564139,20.560796368506924,0.005060250609126123,-0.232012,-0.33605478234785535,0.22
bitcoin-above-74k-on-may-24-2026,74000.0,1779638460,1779493500,0.874,100.0,0.879,250.0,0,0.9306187020058954,0.29531132129451404,-0.025969540901461207,75621.56,75796.09,0,1.6777777777777778,1,BTC,0.8765000000000001,0.0050000000000000044,2026-05-22 23:45:00+00:00,2026-05-22,76388.0,0.87,0.88,20.0,140.0,0.875,1779494400.0,2026-05-24 16:01:00+00:00,True,2026-05-24,0.051618702005895356,-0.05661870200589536,9.841428196449746,0.007778907568752716,0.112608,0.036052439715300685,0.88
bitcoin-above-76k-on-may-29-2026,76000.0,1780070460,1779881400,0.47,521.55,0.48,445.0,1,0.5304749592232583,0.3328984514778415,-0.0005735031399410686,75762.11,75916.11,0,2.1881944444444446,0,BTC,0.475,0.010000000000000009,2026-05-27 11:30:00+00:00,2026-05-27,73804.01,0.47,0.48,87.5,751.62,0.475,1779882300.0,2026-05-29 16:01:00+00:00,True,2026-05-29,0.05047495922325829,-0.060474959223258296,15.453512589836103,-0.028215848669899752,-0.49747199999999997,-0.06143802734679388,0.48
