slug,ts,sz,n,last,sz_buy,vwap,vwap_buy,K,T_pm,label,S_T,S_bin,S_idx,fv,sigma,x,extrap,tte_d,asset,exp_dt,event,quarter,year,gap,n_vwap,n_vwap_buy,n_Sbin,n_ts_,delta,ret_T,ev_raw,ev_hedged,cfg
ethereum-above-4400-on-september-1,1756538100,300.0,1,0.47,300.0,0.47,0.47,4400.0,1756742460,0,4361.53,4400.11,4400.11,0.516504305037241,0.5369201605923217,-2.499968750512779e-05,0,2.365277777777778,ETH,2025-09-01 16:01:00+00:00,2025-09-01,2025Q3,2025,0.04650430503724101,0.5189024390243903,0.52,4408.9,1756539900.0,9.228043894589527,-0.00880662737670621,-0.5363774278703153,-0.45510948387477657,S2-analog
ethereum-above-4400-on-september-1,1756681200,500.0,1,0.63,500.0,0.63,0.63,4400.0,1756742460,0,4361.53,4445.4,4444.33,0.6873035472403903,0.5455924445035797,-0.01026531274431375,0,0.7090277777777778,ETH,2025-09-01 16:01:00+00:00,2025-09-01,2025Q3,2025,0.05730354724039033,0.48393442622950816,0.47,4407.99,1756683000.0,15.22235657058143,-0.01904694043351476,-0.5014163590432679,-0.2114770401856813,S2-analog
ethereum-above-4400-on-september-10,1757081700,1250.0,1,0.45,1250.0,0.45,0.45,4400.0,1757520060,1,4403.79,4401.63,4391.72,0.49747102122819664,0.6255171290478884,-0.00037038594411157726,0,5.073611111111111,ETH,2025-09-10 16:01:00+00:00,2025-09-10,2025Q3,2025,0.04747102122819663,0.35,0.35,4291.49,1757083500.0,5.406776276162916,0.0004906069314865149,0.634075,0.6314223980819177,S2-analog
ethereum-above-4400-on-september-10,1757422800,56.0,7,0.29,56.0,0.28375,0.28375,4400.0,1757520060,1,4403.79,4345.19,4346.22,0.3195985288520835,0.495005243430777,0.012535054739444617,0,1.1256944444444443,ETH,2025-09-10 16:01:00+00:00,2025-09-10,2025Q3,2025,0.035848528852083505,0.32421225457081454,0.3248666594461255,4347.42,1757426400.0,12.996406182423657,0.013396047615042525,0.6604508386302007,0.4863503625860204,S2-analog
ethereum-above-4400-on-september-12,1757575800,23.255812,1,0.57,23.255812,0.57,0.57,4400.0,1757692860,1,4543.17,4437.14,4438.81,0.5957831582010208,0.5863729075138899,-0.008405483825801871,0,1.3548611111111113,ETH,2025-09-12 16:01:00+00:00,2025-09-12,2025Q3,2025,0.02578315820102084,0.56,,4433.11,1757578500.0,10.906124401383174,0.023614981534042245,0.42275199999999996,0.16520407365336875,S2-analog
ethereum-above-4400-on-september-14,1757593800,4135.589873,12,0.55,4135.589873,0.5299582578023205,0.5299582578023205,4400.0,1757865660,1,4579.64,4473.0,4426.88,0.6418211680562219,0.5074181704414634,-0.016454783526495737,0,3.146527777777778,ETH,2025-09-14 16:01:00+00:00,2025-09-14,2025Q3,2025,0.11186291025390138,0.5402702702702703,0.5402702702702703,4426.06,1757595600.0,8.03041835034938,0.023561067965947504,0.44234324835646455,0.2531380158088907,S2-analog
ethereum-above-4400-on-september-14,1757736900,10.0,1,0.967,10.0,0.967,0.967,4400.0,1757865660,1,4579.64,4739.53,4741.16,0.9930086982443305,0.4704554016672159,-0.07433343374833333,0,1.4902777777777778,ETH,2025-09-14 16:01:00+00:00,2025-09-14,2025Q3,2025,0.026008698244330497,0.967,0.967,4743.1,1757739600.0,0.6475325447937995,-0.03431758225589022,0.030766230000000026,0.052987981369327156,S2-analog
ethereum-above-4400-on-september-15,1757593800,5028.0,3,0.53,5028.0,0.4703341288782816,0.4703341288782816,4400.0,1757952060,1,4499.27,4473.0,4426.88,0.6204150708770095,0.5200127809334776,-0.016454783526495737,0,4.146527777777777,ETH,2025-09-15 16:01:00+00:00,2025-09-15,2025Q3,2025,0.15008094199872796,0.4876881709978935,0.4876863940339826,4400.46,1757598300.0,6.941727279673366,0.005855836943893069,0.49482243968144285,0.4541728166227012,S2-analog
ethereum-above-4400-on-september-16,1757926800,650.0,2,0.76,0.0,0.76,,4400.0,1758038460,1,4469.12,4510.62,4507.27,0.789860951503185,0.5505586248785365,-0.024830075425736713,0,1.292361111111111,ETH,2025-09-16 16:01:00+00:00,2025-09-16,2025Q3,2025,0.029860951503185018,0.85,0.85,4529.79,1757934000.0,9.250232328952364,-0.009243095114473524,0.141075,0.22657577724748465,S2-analog
ethereum-above-4400-on-september-17,1757925900,3515.22,6,0.72,3301.22,0.7305569494939151,0.7299448082829985,4400.0,1758124860,1,4487.01,4553.0,4554.09,0.7826607758649431,0.5918628248286109,-0.034181815428429636,0,2.302777777777778,ETH,2025-09-17 16:01:00+00:00,2025-09-17,2025Q3,2025,0.05210382637102795,0.7003811298114875,0.7001462087725263,4510.62,1757926800.0,6.625391780661827,-0.014599800700707155,0.2849295519914295,0.38165895155319546,S2-analog
ethereum-above-4400-on-september-17,1758084300,6528.0,3,0.79,6528.0,0.7769791666666667,0.7769791666666667,4400.0,1758124860,1,4487.01,4483.71,4482.33,0.8057325439125819,0.6192653882335469,-0.018846287796359846,0,0.4694444444444444,ETH,2025-09-17 16:01:00+00:00,2025-09-17,2025Q3,2025,0.0287533772459152,0.83,0.83,4487.34,1758086100.0,12.64970825898033,0.0007357269313624983,0.16012300000000004,0.1508162689599896,S2-analog
ethereum-above-4400-on-september-18,1758156300,60.0,1,0.914,0.0,0.914,,4400.0,1758211260,1,4597.85,4600.41,4602.19,0.9503906991196616,0.671308941672614,-0.04454088903373509,0,0.6361111111111112,ETH,2025-09-18 16:01:00+00:00,2025-09-18,2025Q3,2025,0.03639069911966153,0.9662939184755506,0.9662939184755506,4584.79,1758157200.0,4.116078536551192,-0.000556627028611313,0.031426182812959266,0.033717303378290556,S2-analog
