asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,fut_pnl,perp_fill_pnl,fut_inst,basis_bp,fut_tte_h,ev_perp_sig,ev_perp,ev_fut,ev_fut_hs2.5,ev_fut_hs5.0
ETH,ethereum-above-3200-on-january-6,3200.0,1767718860,1767639600,0.5577408537921775,0.9173611111111112,3228.3,3248.99,13.636132170528276,0.0063884959197933,1,2026-01-06,False,0.59,1767640500,0.41,0.3228856252668173,2.330810551181769e-06,3.178324074037647e-05,21.766666666666666,0.3229174085075577,0.1263547859811525,-0.12927739356051182,ETH-9JAN26,24.366975420752105,62.983333333333334,0.31337211598818854,0.2712090971608587,0.5268094934617827,0.5199914273765186,0.5131733612912545
BTC,bitcoin-above-94k-on-january-8,94000.0,1767891660,1767645000,0.4497085751678869,2.8548611111111115,94744.43,90904.38,9.872287605790024,-0.0413748711138072,0,2026-01-08,False,0.56,1767645900,-0.56,-0.1515353727120011,0.0003941568042349,0.0038912293331867,68.26666666666667,-0.1476441433788143,0.3071945626092809,0.3563800589555121,BTC-9JAN26,-7.059579425503155,14.983333333333333,-0.15455474470286784,-0.20663931303535427,-0.25971603871477217,-0.2646521825176672,-0.2695883263205622
ETH,ethereum-above-3400-on-january-8,3400.0,1767891660,1767645000,0.5993985101363194,2.8548611111111115,3260.96,3121.47,5.402713199846794,-0.04371758584651,0,2026-01-08,False,0.155,1767658500,-0.155,0.0811935781183754,9.79077111538766e-05,0.0005289672834178,64.76666666666667,0.0817225454017932,0.1455106390340668,0.1656205613906271,ETH-9JAN26,3.730299399779568,14.983333333333333,0.07794064616189998,0.007367629434152159,-0.013271260205825952,-0.015972616805749348,-0.018673973405672745
ETH,ethereum-above-3300-on-january-9,3300.0,1767978060,1767709800,0.5844112871426036,3.104861111111111,3306.0,3131.37,7.40128139951582,-0.0542683909288221,0,2026-01-09,False,0.48,1767711600,-0.48,-0.0783443676368558,0.000221032219436,0.0016359216544059,74.01666666666667,-0.0767084459824498,0.36806813947510114,0.355359327100591,ETH-16JAN26,-26.094734060209163,158.98333333333332,-0.08188934296211105,-0.12818564822466416,-0.11711275750455992,-0.12081339820431783,-0.12451403890407574
ETH,ethereum-above-3300-on-january-6,3300.0,1767718860,1767709800,0.5626713452790099,0.1048611111111111,3306.0,3248.99,41.11555152891311,-0.0173948205867197,0,2026-01-06,False,0.49,1767710700,-0.49,0.2251976421694739,1.6274961690430564e-06,6.691540260139847e-05,2.2666666666666666,0.2252645575720753,1.0259965449329007,0.5207117114139069,ETH-9JAN26,-40.20595711889295,62.983333333333334,0.19648367150183457,0.0019977407462691624,0.5072156588626615,0.48665788309820496,0.4661001073337484
ETH,ethereum-above-3300-on-january-7,3300.0,1767805260,1767709800,0.5645623346762846,1.104861111111111,3306.0,3156.36,12.831875972060809,-0.0463195344794498,0,2026-01-07,False,0.48,1767710700,-0.48,0.1143665215238947,7.295492114122674e-05,0.0009361484996356,26.266666666666666,0.1153026700235304,0.4981068038171059,0.5503093062926172,ETH-9JAN26,-40.20595711889295,38.983333333333334,0.10632035684308717,0.06226314161181025,0.009124490636663377,0.0027085526506329723,-0.0037073853353974326
ETH,ethereum-above-3300-on-january-8,3300.0,1767891660,1767709800,0.5722838509046045,2.104861111111111,3306.0,3121.47,9.177952803227774,-0.0574349546894101,0,2026-01-08,False,0.48,1767711600,-0.48,0.0471353033949322,9.710905220296738e-05,0.000891262297885,50.016666666666666,0.0480265656928172,0.3978416604726277,0.46358515482232115,ETH-9JAN26,-30.67978686864057,14.983333333333333,0.04160199873055722,-0.021948149842053268,-0.08858290648963173,-0.09317188289124562,-0.0977608592928595
BTC,bitcoin-above-94k-on-january-7,94000.0,1767805260,1767714300,0.4236571222610238,1.0527777777777778,93497.95,91277.42,17.007999442235025,-0.0240360704463308,0,2026-01-07,False,0.39,1767717000,-0.39,0.018805472744716,0.0001495359236743,0.0025433069064481,24.516666666666666,0.0213487796511641,0.28714555520022417,0.3252862703496295,BTC-9JAN26,-21.328400700024417,38.983333333333334,0.009443180041599582,-0.07407602235348695,-0.11476004440934036,-0.12326404413045787,-0.1317680438515754
BTC,bitcoin-above-92k-on-january-6,92000.0,1767718860,1767717000,0.4443532008945788,0.0215277777777777,92850.61,92613.77,3.093731840678888,-0.0025540228128215,1,2026-01-06,False,0.97,1767717900,0.03,0.0379014616978461,1.6469766502720529e-06,5.095304103801307e-06,0.2666666666666666,0.0379065570019499,0.03835167180903509,-0.0034440934318277056,BTC-9JAN26,28.562886072429905,62.983333333333334,0.03574094471347471,0.024395389583800876,0.06618605952055986,0.06463919360022043,0.06309232767988097
BTC,bitcoin-above-92k-on-january-8,92000.0,1767891660,1767718800,0.4337918758686885,2.000694444444444,92692.32,90904.38,12.131764526008595,-0.0194774364022288,0,2026-01-08,False,0.56,1767721500,-0.56,-0.3237043279978514,0.0002334717862973,0.0028324247348259,47.266666666666666,-0.3208719032630254,0.041462550188089614,0.17077707341555526,BTC-9JAN26,-63.82948294651942,14.983333333333333,-0.3293641384312323,-0.3948827370178249,-0.5270296849801164,-0.5330955672431207,-0.539161449506125
BTC,bitcoin-above-94k-on-january-11,94000.0,1768150860,1767741300,0.4532113990273534,4.740277777777778,93479.51,91055.17,7.655852464383679,-0.0262766813444755,0,2026-01-11,False,0.43,1767747600,-0.43,-0.2288296043730721,0.0006263911947535,0.0047955585720219,112.01666666666668,-0.2240340458010501,0.1368941623719951,0.1504166424210922,BTC-16JAN26,-22.667180086910317,110.98333333333333,-0.22939314252611925,-0.28014689573195445,-0.2984649343530735,-0.30229286058526533,-0.30612078681745714
ETH,ethereum-above-3300-on-january-11,3300.0,1768150860,1767741300,0.5874260422869438,4.740277777777778,3288.65,3130.49,5.937926399395629,-0.0492876044003699,0,2026-01-11,False,0.43,1767749400,-0.43,-0.1373338326680752,0.0003704855155351,0.00219991572329,111.51666666666668,-0.1351339169447851,0.23263368962676687,0.23822103236968079,ETH-16JAN26,-20.61317203493134,110.98333333333333,-0.13929046542436235,-0.19373560038660614,-0.20152285885281007,-0.20449182205250788,-0.2074607852522057
ETH,ethereum-above-3200-on-january-10,3200.0,1768064460,1767741300,0.5958545923512419,3.740277777777778,3288.65,3095.97,6.048286578735721,-0.0603758804625486,0,2026-01-10,False,0.65,1767749400,-0.65,-0.2848293725190149,0.0002672835401926,0.0016166074488641,87.51666666666667,-0.2832127650701507,0.29877690755447195,0.3068425672181406,ETH-16JAN26,-20.61317203493134,134.98333333333332,-0.287446565675266,-0.3457746259381103,-0.3554568930506431,-0.35848103634001094,-0.36150517962937884
ETH,ethereum-above-3600-on-january-12,3600.0,1768237260,1767741300,0.607692245381877,5.740277777777777,3288.65,3130.55,2.4718050372724085,-0.0492684382554476,0,2026-01-12,False,0.08,1767750300,-0.08,0.0417819738583601,0.0005873601837625,0.0014518398609175,135.26666666666668,0.0432338137192776,0.11073265439303523,0.09031970016486045,ETH-16JAN26,4.6207162932266606,86.98333333333333,0.04150355019318682,0.01004127649968726,0.02900239086694454,0.027766488348308336,0.026530585829672132
BTC,bitcoin-above-96k-on-january-8,96000.0,1767891660,1767741300,0.4516308404005061,1.7402777777777776,93479.51,90904.38,8.771519498265684,-0.027934083052911,0,2026-01-08,False,0.152,1767747600,-0.152,0.0930243541647826,0.0001441862569927,0.0012647325645939,40.016666666666666,0.0942890867293765,0.1138507922496733,0.17764270942835197,BTC-9JAN26,-29.963984680647357,14.983333333333333,0.08814902308058978,0.020767378344159898,-0.04428927139911267,-0.048675031148245514,-0.053060790897378356
ETH,ethereum-above-3400-on-january-8,3400.0,1767891660,1767743100,0.5822935824001635,1.7194444444444446,3291.49,3121.47,7.064278380513261,-0.053036305083244,0,2026-01-08,False,0.16,1767747600,-0.16,0.2146632233818662,8.754479203060533e-05,0.0006184407816683,40.016666666666666,0.2152816641635345,0.25364796506588194,0.31438394887743726,ETH-9JAN26,-45.02400942968387,14.983333333333333,0.21033666929717518,0.1500573947927463,0.08870297019952265,0.08517083100926602,0.08163869181900939
ETH,ethereum-above-3300-on-january-12,3300.0,1768237260,1767744000,0.5842234443981411,5.709027777777777,3296.84,3130.55,5.453323435915225,-0.0517557259811458,0,2026-01-12,False,0.45,1767747600,-0.45,-0.1677592865642108,0.0005878293121943,0.0032056233645071,136.01666666666668,-0.1645536631997037,0.24429959896391729,0.22549737700243463,ETH-16JAN26,-43.484007886638274,86.98333333333333,-0.16837098960484467,-0.22511432603819892,-0.20951772744122338,-0.21224438915918098,-0.2149710508771386
ETH,ethereum-above-3300-on-january-10,3300.0,1768064460,1767764700,0.5787533635340995,3.469444444444444,3256.36,3095.97,6.827825925600379,-0.0505087413809353,0,2026-01-10,False,0.37,1767777300,-0.37,-0.0251351061298049,0.0002126176318291,0.0014517161788427,79.76666666666667,-0.0236833899509621,0.24359583781149413,0.3102006693450187,ETH-16JAN26,-104.8268324902178,134.98333333333332,-0.028462868098882807,-0.06312709262405884,-0.13118364033642613,-0.13459755329922632,-0.1380114662620265
ETH,ethereum-above-3400-on-january-11,3400.0,1768150860,1767764700,0.5799186648842587,4.469444444444445,3256.36,3130.49,4.849713352152518,-0.0394204653187565,0,2026-01-11,False,0.21,1767777300,-0.21,-0.018822042995561,0.0003158196071716,0.001531634565772,103.76666666666668,-0.0172904084297889,0.12345391508306888,0.16885850578583989,ETH-16JAN26,-104.8268324902178,110.98333333333333,-0.020685207776296073,-0.04300465899489487,-0.08994088426343787,-0.09236574093951412,-0.09479059761559039
ETH,ethereum-above-3500-on-january-12,3500.0,1768237260,1767764700,0.5826652506887533,5.469444444444444,3256.36,3130.55,3.23226109444018,-0.0394012991738342,0,2026-01-12,False,0.12,1767778200,-0.12,0.0073552863899825,0.0005328330272373,0.0017222554637721,127.51666666666668,0.0090775418537546,0.10044774624436927,0.09832711774251301,ETH-16JAN26,-71.40165204027066,86.98333333333333,0.006814959087646259,-0.02221320955982301,-0.021814836521738858,-0.023430967068958947,-0.02504709761617904
BTC,bitcoin-above-94k-on-january-8,94000.0,1767891660,1767764700,0.4234308230188253,1.4694444444444446,92750.0,90904.38,13.02678903230904,-0.0200995166464805,0,2026-01-08,False,0.28,1767765600,-0.28,-0.0181678369949147,0.0001407764832208,0.0018338655476285,35.016666666666666,-0.0163339714472861,0.18667959118173857,0.2316887987998805,BTC-9JAN26,8.210935049334886,14.983333333333333,-0.025452723769902694,-0.05559608797510736,-0.10243916114087778,-0.1089525556570323,-0.11546595017318682
BTC,bitcoin-above-94k-on-january-9,94000.0,1767978060,1767789000,0.5042187960862301,2.188194444444445,92068.0,91593.17,8.777227936835256,-0.0051707288801227,0,2026-01-09,False,0.25,1767795300,-0.25,-0.2046153340195858,0.0001775346682991,0.0015582622503519,50.766666666666666,-0.2030570717692338,0.06144550868805659,0.021035131706910615,BTC-16JAN26,43.58016576411723,158.98333333333332,-0.2092011313250189,-0.23355066559852214,-0.19469855086772808,-0.19908716483614572,-0.20347577880456333
BTC,bitcoin-above-96k-on-january-9,96000.0,1767978060,1767789000,0.5046626249581014,2.188194444444445,92068.0,91593.17,5.637802943796093,-0.0051707288801227,0,2026-01-09,False,0.11,1767791700,-0.11,-0.0808484494980725,0.0001815510487207,0.001023549036927,51.766666666666666,-0.0798249004611455,0.03931473951433976,0.02389209316311568,BTC-16JAN26,24.895917536910243,158.98333333333332,-0.08377136252180303,-0.08903081986061459,-0.0746317225463175,-0.07745062401821555,-0.0802695254901136
BTC,bitcoin-above-98k-on-january-9,98000.0,1767978060,1767789900,0.5570543601971509,2.1777777777777776,92016.17,91593.17,3.0748515801204324,-0.0046076168931487,0,2026-01-09,False,0.032,1767799800,-0.032,-0.0178322619155121,0.0001730701234466,0.0005321649425516,49.516666666666666,-0.0173000969729604,-0.0012610292230665185,-0.01195557280617305,BTC-16JAN26,32.320825747761276,158.98333333333332,-0.019452493079044824,-0.04557580396970575,-0.03541342532915082,-0.03695085111921104,-0.03848827690927126
ETH,ethereum-above-3200-on-january-7,3200.0,1767805260,1767792600,0.5135097577059641,0.1465277777777777,3223.55,3156.36,30.18888246324144,-0.0210637718192891,0,2026-01-07,False,0.73,1767793500,-0.73,-0.0941082683149421,2.9791058856077496e-06,8.993587742616314e-05,3.2666666666666666,-0.0940183324375159,0.5622546822983945,0.5862471535276693,ETH-9JAN26,-7.471515197207841,38.983333333333334,-0.11515055016178685,-0.1647951283191735,-0.18887753542587452,-0.20397197665749522,-0.21906641788911596
