asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf
BTC,bitcoin-above-62k-on-june-10-2026,62000.0,1781107260,1780655400,0.5114973468642655,5.229861111111111,62586.01,62574.0,6.466673996034046,-0.000191914334888,1,2026-06-10,True,0.6,1780656300.0,0.3832,0.3844410474388865,-6.528323691159035e-05,-0.0004221654105131113,125.26666666666667,0.3840188820283734
BTC,bitcoin-above-60k-on-june-10-2026,60000.0,1781107260,1780666200,0.5717179027125215,5.104861111111111,62116.0,62574.0,5.261390697041248,0.0073462516601881,1,2026-06-10,True,0.7,1780667100.0,0.2853,0.246648499856962,-5.402726517058504e-05,-0.00028425855035509674,122.26666666666667,0.2463642413066069
BTC,bitcoin-above-58k-on-june-9-2026,58000.0,1781020860,1780668000,0.6103287180131877,4.084027777777778,60732.36,61201.47,4.90134091375691,0.0076945391530086,1,2026-06-09,True,0.785,1780668900.0,0.2031857499999999,0.1654721904368544,-5.799390104582226e-05,-0.00028424787994425836,97.76666666666667,0.16518794255691013
BTC,bitcoin-above-60k-on-june-11-2026,60000.0,1781193660,1780668900,0.5666804116120943,6.073611111111111,60865.45,62795.24,5.388650794745928,0.0312135841772563,1,2026-06-11,True,0.54,1780669800.0,0.4426119999999999,0.2744128948163584,-3.428635081808955e-05,-0.00018475717158483593,145.51666666666668,0.27422813764477355
ETH,ethereum-above-1600-on-june-10-2026,1600.0,1781107260,1780669800,0.7256533235916947,5.063194444444445,1603.42,1656.82,4.667094463495414,0.0327612544466927,1,2026-06-10,True,0.575,1780670700.0,0.40789375,0.254993880754676,-0.0004463822905550344,-0.0020833083168518025,121.26666666666667,0.25291057243782417
ETH,ethereum-above-1600-on-june-9-2026,1600.0,1781020860,1780669800,0.7232415566091482,4.063194444444444,1603.42,1638.95,5.227774576594155,0.021916944847271,1,2026-06-09,True,0.49,1780670700.0,0.492507,0.3779301529308201,-0.0004442663548914214,-0.002322524355337529,97.26666666666667,0.3756076285754826
ETH,ethereum-above-1500-on-june-10-2026,1500.0,1781107260,1780669800,0.8314379388128134,5.063194444444445,1603.42,1656.82,3.336631003547376,0.0327612544466927,1,2026-06-10,True,0.821,1780670700.0,0.16871287,0.0594006526980608,-0.0004463822905550344,-0.0014894129901004208,121.26666666666667,0.05791123970796038
BTC,bitcoin-above-58k-on-june-10-2026,58000.0,1781107260,1780669800,0.6208812794221187,5.063194444444445,60394.6,62574.0,4.773824546371517,0.0354501593966449,1,2026-06-10,True,0.786,1780670700.0,0.2022257199999999,0.0329928788995135,-3.607429332025576e-05,-0.000172212346945243,121.26666666666667,0.03282066655256826
BTC,bitcoin-above-56k-on-june-10-2026,56000.0,1781107260,1780685100,0.6976841037670943,4.886111111111111,59952.0,62574.0,3.576043453596988,0.0428056143157992,1,2026-06-10,True,0.813,1780686000.0,0.17635783,0.0232830931487885,9.305282015084279e-06,3.327609283391593e-05,117.01666666666667,0.023316369241622417
BTC,bitcoin-above-60k-on-june-9-2026,60000.0,1781020860,1780741800,0.6047468954874042,3.229861111111111,60527.28,61201.47,6.957903271451702,0.0110770363389076,1,2026-06-09,True,0.56,1780742700.0,0.4227519999999999,0.3456790526195252,4.171292011453942e-06,2.9023446332675734e-05,77.26666666666667,0.34570807606585785
BTC,bitcoin-above-66k-on-june-11-2026,66000.0,1781193660,1780820100,0.7392970198756179,4.323611111111111,62383.58,62795.24,3.768909751304733,0.006577174701067,0,2026-06-11,True,0.18,1780821000.0,-0.190332,-0.2151207778668865,2.4120924242183525e-05,9.090958658684822e-05,103.51666666666667,-0.21502986828029966
BTC,bitcoin-above-68k-on-june-11-2026,68000.0,1781193660,1780820100,0.7392980583911851,4.323611111111111,62383.58,62795.24,2.6729719930261435,0.006577174701067,0,2026-06-11,True,0.076,1780821000.0,-0.08091568,-0.0984962837691924,2.4120924242183525e-05,6.447455494526192e-05,103.51666666666667,-0.09843180921424713
BTC,bitcoin-above-58k-on-june-16-2026,58000.0,1781625660,1781072100,0.5494586135048225,6.406944444444444,61393.44,65912.0,4.153159325538612,0.0710175299589127,1,2026-06-16,True,0.83,1781073000.0,0.160123,-0.1348241168255761,5.4077206883456144e-05,0.00022459125606710668,153.51666666666668,-0.134599525569509
BTC,bitcoin-above-64k-on-june-14-2026,64000.0,1781452860,1781099100,0.4706781673455188,4.094444444444444,62380.01,64058.03,6.919861280932926,0.0265445198011047,1,2026-06-14,True,0.25,1781100000.0,0.736875,0.5531906052073781,4.51223317449994e-05,0.00031224027634763193,98.01666666666667,0.5535028454837257
BTC,bitcoin-above-64k-on-june-13-2026,64000.0,1781366460,1781099100,0.5026974398265521,3.094444444444445,62380.01,64256.01,7.297120806204494,0.0296303887692518,1,2026-06-13,True,0.23,1781100000.0,0.757603,0.5413864736159645,4.5000012500405126e-05,0.0003283705274961686,74.01666666666667,0.5417148441434606
BTC,bitcoin-above-60k-on-june-17-2026,60000.0,1781712060,1781130600,0.4784545583549119,6.729861111111111,61253.99,65804.8,5.894728834523854,0.0716637938386636,1,2026-06-17,True,0.58,1781131500.0,0.402948,-0.0194906319321437,7.497303772081333e-05,0.00044194572726472296,161.26666666666668,-0.019048686204878977
BTC,bitcoin-above-64k-on-june-15-2026,64000.0,1781539260,1781154000,0.428598748686723,4.459027777777777,62726.86,67178.0,7.617869529681572,0.0685560679147366,1,2026-06-15,True,0.32,1781154900.0,0.6647679999999999,0.1425168191575467,3.836432050898127e-05,0.0002922543882323062,106.76666666666667,0.142809073545779
BTC,bitcoin-above-58k-on-june-18-2026,58000.0,1781798460,1781195400,0.51383247916016,6.979861111111111,62639.78,62544.81,3.243625062151175,-0.0015172796942419,1,2026-06-18,True,0.93,1781196300.0,0.0654429999999999,0.0703644864425361,7.557574192831873e-05,0.000245139370609364,167.26666666666668,0.07060962581314546
BTC,bitcoin-above-60k-on-june-18-2026,60000.0,1781798460,1781195400,0.4755978671803383,6.979861111111111,62639.78,62544.81,4.999684953075107,-0.0015172796942419,1,2026-06-18,True,0.8,1781196300.0,0.1887999999999999,0.1963859204569077,7.557574192831873e-05,0.00037785489973650265,167.26666666666668,0.1967637753566442
BTC,bitcoin-above-62k-on-june-18-2026,62000.0,1781798460,1781199900,0.4437686148924551,6.927777777777777,63331.99,62544.81,6.205358368429088,-0.0125073128917985,1,2026-06-18,True,0.71,1781200800.0,0.275587,0.3531993587196831,7.080595771818098e-05,0.00043937634226115047,166.01666666666668,0.35363873506194426
BTC,bitcoin-above-64k-on-june-17-2026,64000.0,1781712060,1781350200,0.3401872502024655,4.188194444444444,63952.18,65804.8,10.939545677577328,0.0285571674229741,1,2026-06-17,True,0.49,1781351100.0,0.492507,0.1801045625541515,3.64544238203833e-05,0.00039879483453284615,100.26666666666667,0.18050335738868434
BTC,bitcoin-above-66k-on-june-20-2026,66000.0,1781971260,1781643600,0.3456056758016176,3.792361111111112,65854.0,64016.99,11.2879323084786,-0.0282916535807766,0,2026-06-20,True,0.5,1781644500.0,-0.5175,-0.1981457294852673,-2.8860567438688395e-06,-3.2577613163219624e-05,90.76666666666667,-0.1981783070984305
BTC,bitcoin-above-68k-on-june-21-2026,68000.0,1782057660,1781643600,0.3266822713150699,4.792361111111111,65854.0,64198.02,7.265363187948697,-0.0254678013610318,0,2026-06-21,True,0.2,1781644500.0,-0.2112,-0.0261671735135693,1.1881840979333091e-05,8.632589005630693e-05,114.76666666666667,-0.026080847623512992
BTC,bitcoin-above-66k-on-june-21-2026,66000.0,1782057660,1781643600,0.3486405920744641,4.792361111111111,65854.0,64198.02,9.95792736360901,-0.0254678013610318,0,2026-06-21,True,0.49,1781644500.0,-0.507493,-0.253886483936022,1.1881840979333091e-05,0.00011831850941815186,114.76666666666667,-0.25376816542660385
BTC,bitcoin-above-66k-on-june-22-2026,66000.0,1782144060,1781643600,0.3503114011663819,5.792361111111111,65854.0,64774.51,9.016561693540677,-0.0165280086871476,0,2026-06-22,True,0.5,1781644500.0,-0.5175,-0.3684741900009568,1.7165181210841013e-05,0.00015477091536835326,138.76666666666668,-0.36831941908558846
BTC,bitcoin-above-68k-on-june-22-2026,68000.0,1782144060,1781644500,0.3334852590869077,5.781944444444444,65918.0,64774.51,7.11060493629859,-0.0174993835624227,0,2026-06-22,True,0.21,1781645400.0,-0.221613,-0.0971817968588545,1.7141868155379214e-05,0.00012188905232301904,138.51666666666668,-0.09705990780653148
