asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,P0,P1,ev_policy_fill,ev_policy_sig
BTC,bitcoin-above-74k-on-june-2-2026,74000.0,1780416060,1780081200,0.2936990377847179,3.875694444444445,73374.52,67298.23,12.618397905572715,-0.0864428002329756,0,2026-06-02,True,0.41,1780082100.0,-0.426933,0.6638366494116203,6.124984893125102e-05,0.0007728749654707,92.76666666666668,0.6646095243770911,73324.0,67131.0,0.678480201301106,0.6557766458431897
BTC,bitcoin-above-74k-on-june-3-2026,74000.0,1780502460,1780178400,0.300710310667007,3.750694444444445,73981.99,66104.0,13.08383899560885,-0.1125924258055844,0,2026-06-03,True,0.49,1780179300.0,-0.507493,0.9656481713653025,-1.2483280002122815e-05,-0.0001633292256848,89.76666666666667,0.9654848421396176,73832.5,65852.0,0.9798350460282347,0.9563261548426906
BTC,bitcoin-above-76k-on-june-3-2026,76000.0,1780502460,1780189200,0.3012437956571189,3.625694444444444,74038.2,66104.0,8.973489091378257,-0.1133519168277476,0,2026-06-03,True,0.2,1780190100.0,-0.2112,0.8059621891406088,-1.2686763952714925e-05,-0.0001138445379345,86.76666666666667,0.8058483446026742,74070.0,65852.0,0.8376941393959991,0.7995669022387093
BTC,bitcoin-above-74k-on-june-4-2026-965,74000.0,1780588860,1780231500,0.3238693795499898,4.136111111111111,73974.89,63876.0,11.567279947248949,-0.1467820073176995,0,2026-06-04,True,0.5,1780232400.0,-0.5175,1.1803685698629738,-0.0003590443127383,-0.0041531660789124,99.01666666666668,1.1762154037840613,73832.0,63758.0,1.16714166252788,1.1681183078209871
BTC,bitcoin-above-76k-on-june-4-2026-893,76000.0,1780588860,1780231500,0.3045088554543372,4.136111111111111,73974.89,63876.0,8.580230592841227,-0.1467820073176995,0,2026-06-04,True,0.2,1780232400.0,-0.2112,1.04822346966597,-0.0003590443127383,-0.0030806829963434,99.01666666666668,1.0451427866696266,73832.0,63758.0,1.0384121816637082,1.0391366252546377
BTC,bitcoin-above-68k-on-june-9-2026,68000.0,1781020860,1780430400,0.4365608502092638,6.834027777777778,67315.14,61201.47,6.547058476236782,-0.0952139653655739,0,2026-06-09,True,0.42,1780431300.0,-0.437052,0.1863193990027966,-0.0005092016889876,-0.0033337732340009,163.76666666666668,0.1829856257687956,67199.5,61144.0,0.17329665827882085,0.17840268483542937
BTC,bitcoin-above-66k-on-june-9-2026-493,66000.0,1781020860,1780434000,0.4669750141410536,6.792361111111111,67587.77,61201.47,5.908187412623409,-0.0992558406840142,0,2026-06-09,True,0.65,1780434900.0,-0.665925,-0.0795028914413523,-0.000509142968006,-0.003008112074799,162.76666666666668,-0.0825110035161513,67483.0,61144.0,-0.09026174376664309,-0.08664673470498818
BTC,bitcoin-above-70k-on-june-9-2026,70000.0,1781020860,1780434000,0.4254445336743298,6.792361111111111,67587.77,61201.47,5.625027957705889,-0.0992558406840142,0,2026-06-09,True,0.23,1780434900.0,-0.242397,0.3159198788131819,-0.000509142968006,-0.0028639434295033,162.76666666666668,0.3130559353836785,67483.0,61144.0,0.30567666191838866,0.3091184158132841
BTC,bitcoin-above-68k-on-june-6-2026-331-336-128,68000.0,1780761660,1780435800,0.4770414875756184,3.771527777777778,67887.99,60787.86,8.213061666499144,-0.1104690431759494,0,2026-06-06,True,0.479,1780436700.0,-0.49646913,0.410819933843229,-0.0005135900825919,-0.0042181470196299,90.26666666666668,0.406601786823599,67605.5,60784.0,0.3671273572813565,0.40085264365704953
BTC,bitcoin-above-70k-on-june-6-2026-134-422,70000.0,1780761660,1780437600,0.449889194447126,3.750694444444445,67566.01,60787.86,6.358177765900709,-0.1057149479637949,0,2026-06-06,True,0.19,1780438500.0,-0.200773,0.4713814316667511,-0.000512420753002,-0.0032580622385236,89.76666666666667,0.4681233694282274,67080.0,60784.0,0.41817602077620103,0.463672644992097
BTC,bitcoin-above-68k-on-june-7-2026-634,68000.0,1780848060,1780439400,0.4572145027346549,4.729861111111111,67294.0,62078.25,7.470809487631132,-0.0806753935856065,0,2026-06-07,True,0.415,1780440300.0,-0.4319942499999999,0.1707162458177251,-0.000510875386784,-0.0038166526865836,113.26666666666668,0.1668995931311415,66697.0,62051.5,0.09831678059994729,0.16167002648979953
BTC,bitcoin-above-66k-on-june-6-2026-133-165-898-474,66000.0,1780761660,1780439400,0.5082556002904101,3.729861111111111,67294.0,60787.86,7.297754515428718,-0.1016809816476794,0,2026-06-06,True,0.617,1780440300.0,-0.63354177,0.1085010729525772,-0.0005100858002141,-0.0037224809517687,89.26666666666667,0.1047785920008084,66697.0,60784.0,0.03510252403041712,0.09967016384000812
BTC,bitcoin-above-66k-on-june-7-2026-855,66000.0,1780848060,1780440300,0.4872386463674553,4.719444444444444,66956.01,62078.25,7.009629918515851,-0.0756401505475313,0,2026-06-07,True,0.543,1780441200.0,-0.56037057,-0.0301611076809812,-0.0005097079103901,-0.0035728638183747,113.01666666666668,-0.0337339714993559,66206.5,62051.5,-0.11452830145033381,-0.03864071244231725
ETH,ethereum-above-1900-on-june-7-2026,1900.0,1780848060,1780485300,0.5130904695439547,4.198611111111111,1888.0,1628.3,7.176142750676591,-0.1479815419352715,0,2026-06-07,True,0.45,1780486200.0,-0.467325,0.5946116693927426,2.978094439770422e-05,0.0002137123082478,100.51666666666668,0.5948253817009904,1883.45,1627.65,0.5753522207312564,0.5898020817755166
BTC,bitcoin-above-70k-on-june-7-2026-544,70000.0,1780848060,1780492500,0.4171475008626216,4.115277777777778,67122.01,62078.25,5.62679037390505,-0.078116322030643,0,2026-06-07,True,0.15,1780493400.0,-0.1589249999999999,0.2806191688468892,-0.0004925218690695,-0.002771317311818,98.51666666666668,0.2778478515350712,66849.5,62051.5,0.2534434299898426,0.27390909827333754
BTC,bitcoin-above-68k-on-june-8-2026-717,68000.0,1780934460,1780498800,0.4229089835858191,5.042361111111111,66864.95,63700.01,7.512793196576902,-0.0484901939851352,0,2026-06-08,True,0.34,1780499700.0,-0.355708,0.0085887994722186,-0.0004967335823888,-0.0037318566782823,120.76666666666668,0.0048569427939362,66426.0,63699.0,-0.04976490839844166,-0.00040201244366821955
SOL,solana-above-30-on-june-7-2026,30.0,1780848060,1780500600,0.7349870513901691,4.021527777777778,74.22,64.93,9.414432959340053e-30,-0.133723889112056,1,2026-06-07,True,0.7,1780501500.0,0.2853,0.2853,0.0002016577987011,1.898493826600113e-33,96.26666666666668,0.2853,73.526,64.922,0.2853,0.2853
BTC,bitcoin-above-62k-on-june-9-2026,62000.0,1781020860,1780533900,0.5368369418015202,5.636111111111111,63595.33,61201.47,5.629947819712917,-0.0383688311395195,0,2026-06-09,True,0.643,1780534800.0,-0.65906857,-0.4430540527811286,-0.0003583445162336,-0.0020174609278758,135.01666666666668,-0.4450715137090044,63230.0,61144.0,-0.4761583797492087,-0.4490124771828039
ETH,ethereum-above-1700-on-june-7-2026,1700.0,1780848060,1780538400,0.7167993855060687,3.584027777777778,1759.77,1628.3,5.073531765487829,-0.0776465929042283,0,2026-06-07,True,0.676,1780539300.0,-0.69133168,-0.2973892244184956,-5.5591327699135856e-05,-0.0002820443669672,85.76666666666667,-0.2976712687854628,1738.7,1627.65,-0.3603098129354461,-0.30122274102130453
BTC,bitcoin-above-60k-on-june-10-2026,60000.0,1781107260,1780539300,0.6178138350850509,6.573611111111111,62402.13,62574.0,4.38300340120496,0.002750446958937,1,2026-06-10,True,0.75,1780540200.0,0.236875,0.2248197816241449,-0.0002302976960181,-0.0010093955849374,157.51666666666668,0.2238103860392075,62957.0,62491.5,0.26532555055947693,0.2207422836583644
BTC,bitcoin-above-58k-on-june-10-2026,58000.0,1781107260,1780539300,0.6893300791585512,6.573611111111111,62402.13,62574.0,3.268514397839568,0.002750446958937,1,2026-06-10,True,0.849,1780540200.0,0.14202607,0.1330361945142201,-0.0002302976960181,-0.0007527313352247,157.51666666666668,0.1322834631789953,62957.0,62491.5,0.16324235153529346,0.12999550310050798
BTC,bitcoin-above-62k-on-june-10-2026,62000.0,1781107260,1780539300,0.5652386078805649,6.573611111111111,62402.13,62574.0,5.253356190951688,0.002750446958937,1,2026-06-10,True,0.6,1780540200.0,0.3832,0.3687509224403837,-0.0002302976960181,-0.001209835827139,157.51666666666668,0.3675410866132446,62957.0,62491.5,0.41730010493638287,0.3638637372795788
