asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf,P0,P1,ev_policy_fill,ev_policy_sig
ETH,ethereum-above-1600-on-june-12-2026,1600.0,1781280060,1781009100,0.6599943053373318,3.13611111111111,1674.04,1662.73,5.072401942843852,-0.0067790368007832,1,2026-06-12,True,0.78,1781014500,0.2199999999999999,0.2543859994389028,-2.5186555015065115e-05,-0.0001277563305919,73.76666666666667,0.2542582431083108,1655.45,1660.35,0.20132983324693912,0.25070756174831993
BTC,bitcoin-above-64k-on-june-12-2026,64000.0,1781280060,1781012700,0.4497973339571529,3.094444444444445,62434.0,63662.1,7.953918590941904,0.0194794102757542,0,2026-06-12,True,0.26,1781014500,-0.26,-0.4149376435329064,5.863819603078684e-05,0.0004664034375485,73.76666666666667,-0.4144712400953578,61975.0,63590.0,-0.4697170674021214,-0.4200389831090169
BTC,bitcoin-above-62k-on-june-12-2026,62000.0,1781280060,1781012700,0.4739792740719165,3.094444444444445,62434.0,63662.1,9.054604197496753,0.0194794102757542,1,2026-06-12,True,0.5700000000000001,1781013600,0.4299999999999999,0.2536216499523942,5.943833337777524e-05,0.0005381905828946,74.01666666666667,0.2541598405352888,62365.5,63590.0,0.24814235756824574,0.24782161759704144
ETH,ethereum-above-1600-on-june-10-2026,1600.0,1781107260,1781015400,0.669294381568352,1.0631944444444446,1639.58,1656.82,8.891875387583502,0.0104599910128879,1,2026-06-10,True,0.744,1781021700,0.256,0.1629910633581569,-2.1082773648505027e-06,-1.874653961071359e-05,23.766666666666666,0.1629723168185462,1626.35,1653.2,0.10415636215892604,0.15674800404723832
BTC,bitcoin-above-58k-on-june-12-2026,58000.0,1781280060,1781016300,0.5586334491777595,3.0527777777777776,61362.82,63662.1,4.369213972661053,0.0367852947753105,1,2026-06-12,True,0.87,1781017200,0.13,-0.0307228239207424,5.623778398981989e-05,0.0002457149115998,73.01666666666667,-0.0304771090091425,61427.5,63590.0,-0.023981454890194945,-0.03353555879000521
BTC,bitcoin-above-60k-on-june-10-2026,60000.0,1781107260,1781016300,0.548264496705553,1.0527777777777778,61362.82,62574.0,10.242133818796251,0.0195457420851702,1,2026-06-10,True,0.77,1781020800,0.2299999999999999,0.0298098939760091,1.2427859494890808e-05,0.0001272878000278,24.016666666666666,0.0299371817760369,61183.5,62491.5,0.006305915241635001,0.02276768810287948
ETH,ethereum-above-1700-on-june-12-2026,1700.0,1781280060,1781017200,0.6265578116093192,3.042361111111111,1645.9,1662.73,5.846287525039769,0.0101734827757417,0,2026-06-12,True,0.26,1781020800,-0.26,-0.319477105438026,-2.5183668816821173e-05,-0.0001472309688385,72.01666666666667,-0.3196243364068645,1637.7,1660.35,-0.3445419286535145,-0.323716737674392
BTC,bitcoin-above-60k-on-june-11-2026,60000.0,1781193660,1781017200,0.5392471306997921,2.042361111111111,61541.95,62795.24,8.216677676668782,0.0201602183234186,1,2026-06-11,True,0.74,1781019000,0.26,0.0943499841451971,2.058470963917612e-05,0.0001691379241729,48.516666666666666,0.09451912206937,61377.5,62710.5,0.07787738415269285,0.08876744769570219
BTC,bitcoin-above-64k-on-june-13-2026,64000.0,1781366460,1781035200,0.4666274484175951,3.8340277777777776,62098.09,64256.01,6.732530173469108,0.034160028634056,1,2026-06-13,True,0.25,1781037900,0.75,0.5200165764946489,4.493749812543336e-05,0.0003025430620496,91.26666666666668,0.5203191195566986,62072.0,64237.0,0.5147692360900498,0.5156063484352704
BTC,bitcoin-above-64k-on-june-15-2026,64000.0,1781539260,1781035200,0.4547623854081699,5.834027777777778,62098.09,67178.0,5.953488992962494,0.0786305813532486,1,2026-06-15,True,0.28,1781040600,0.72,0.2518736994031922,4.697968471250452e-05,0.0002796930358287,138.51666666666668,0.2521533924390209,61825.0,67122.5,0.22666702147233317,0.2479859501439475
BTC,bitcoin-above-62k-on-june-13-2026,62000.0,1781366460,1781035200,0.4945742524048337,3.8340277777777776,62098.09,64256.01,7.870275846532146,0.034160028634056,1,2026-06-13,True,0.52,1781040600,0.48,0.2111511517245422,4.492629631397231e-05,0.000353582344754,90.51666666666668,0.2115047340692962,61825.0,64237.0,0.17363669224015343,0.20599554097672407
BTC,bitcoin-above-64k-on-june-14-2026,64000.0,1781452860,1781035200,0.459499393149018,4.834027777777778,62098.09,64058.03,6.313072305106248,0.0310741596659088,1,2026-06-14,True,0.26,1781040600,0.74,0.5438265832087013,4.504861555856658e-05,0.0002843951672661,114.51666666666668,0.5441109783759674,61825.0,64023.5,0.515271409620981,0.5396918277623932
