asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged
ETH,ethereum-above-1600-on-july-2-2026,1600.0,1783008060,1782881100,0.5862817320448672,1.4694444444444446,1597.25,1697.89,10.70189107672772,0.061102903193805215,1,2026-07-02,True,0.46,1782886500,0.54,-0.11391661445194179
BTC,bitcoin-above-62k-on-july-6-2026,62000.0,1783353660,1782881100,0.4101504831412338,5.469444444444444,59359.9,63427.99,5.338711194332837,0.06628633244664314,1,2026-07-06,True,0.15000000000000002,1782886500,0.85,0.4961164149358383
BTC,bitcoin-above-60k-on-july-1-2026,60000.0,1782921660,1782881100,0.4428242245119119,0.4694444444444444,59359.9,60114.03,19.890327008808015,0.012624344335270451,1,2026-07-01,True,0.2,1782883800,0.8,0.5488976628996778
BTC,bitcoin-above-58k-on-july-2-2026,58000.0,1783008060,1782881100,0.4867580774163666,1.4694444444444446,59359.9,61644.03,9.85987936300798,0.037757473716794075,1,2026-07-02,True,0.76,1782883800,0.24,-0.13228413589953414
ETH,ethereum-above-1700-on-july-4-2026,1700.0,1783180860,1782882000,0.522689539029493,3.459027777777778,1599.35,1788.64,3.7029354390343365,0.11185825783603015,1,2026-07-04,True,0.08,1782888300,0.92,0.5057960929103238
BTC,bitcoin-above-62k-on-july-5-2026,62000.0,1783267260,1782882000,0.4082765145662566,4.459027777777777,59339.99,62736.0,5.392636373253399,0.05565199920770526,1,2026-07-05,True,0.15000000000000002,1782883800,0.85,0.5498890048282592
ETH,ethereum-above-1700-on-july-5-2026,1700.0,1783267260,1782882900,0.5189166184190858,4.448611111111111,1595.77,1774.16,3.6647921567535753,0.10597069311059223,1,2026-07-05,True,0.09,1782894600,0.91,0.5216394350425615
ETH,ethereum-above-1600-on-july-3-2026,1600.0,1783094460,1782900000,0.5669005568817858,2.2506944444444446,1581.01,1730.99,8.591522787753245,0.09062961585185417,1,2026-07-03,True,0.39,1782900900,0.61,-0.1686464098365278
BTC,bitcoin-above-58k-on-july-1-2026,58000.0,1782921660,1782904500,0.4906110434140599,0.1986111111111111,58706.01,60114.03,20.055557930973677,0.023701151955276497,1,2026-07-01,True,0.84,1782906300,0.16000000000000003,-0.3153398260698578
BTC,bitcoin-above-60k-on-july-5-2026,60000.0,1783267260,1782936000,0.3703086773531132,3.8340277777777776,60028.67,62736.0,10.511292392218516,0.04411316412053506,1,2026-07-05,True,0.52,1782937800,0.48,0.016313633583133036
ETH,ethereum-above-1600-on-july-5-2026,1600.0,1783267260,1782936900,0.5077138247914278,3.823611111111111,1616.54,1774.16,7.564528537436107,0.09303900878138029,1,2026-07-05,True,0.58,1782950400,0.42000000000000004,-0.2837962370215197
ETH,ethereum-above-1600-on-july-4-2026,1600.0,1783180860,1782936900,0.5105570659048143,2.823611111111111,1616.54,1788.64,8.696485461687425,0.10116749184362231,1,2026-07-04,True,0.58,1782950400,0.42000000000000004,-0.45980162201344255
BTC,bitcoin-above-60k-on-july-8-2026,60000.0,1783526460,1782937800,0.3908330708998773,6.813194444444444,59974.0,61752.01,7.466663674965788,0.029215390612868437,1,2026-07-08,True,0.5,1782952200,0.5,0.2818585041609588
BTC,bitcoin-above-58k-on-july-8-2026,58000.0,1783526460,1782937800,0.4187705113023954,6.813194444444444,59974.0,61752.01,5.972988974077341,0.029215390612868437,1,2026-07-08,True,0.73,1782952200,0.27,0.09549679399597419
