asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,pnl_static,pnl_daily,pnl_daily_cap2,pnl_move2
BTC,bitcoin-above-66k-on-april-4,66000.0,1775318460,1775139300,0.4895401328600678,2.073611111111111,66397.85,67385.65,10.699780592280552,0.0147674107981753,1,2026-04-04,False,0.5700000000000001,1775140200,0.4299999999999999,0.2719919445434486,0.2659928837762528,0.23936857028897704,0.23936857028897704,0.2659928837762528
XRP,xrp-above-1pt3-on-april-4,1.3,1775318460,1775142000,0.5480311085504742,2.042361111111111,1.3001,1.3134,9.729930257768425,0.0101780101887491,1,2026-04-04,False,0.47,1775143800,0.53,0.4309686707006146,0.4238491128729513,0.4238491128729513,0.4238491128729513,0.43024335396466856
XRP,xrp-above-1pt3-on-april-2,1.3,1775145660,1775142000,0.5480311085504742,0.0423611111111111,1.3001,1.2987,67.56870045998579,-0.0010774204520785,0,2026-04-02,False,0.44,1775142900,-0.44,-0.367200100204043,-0.4145370252799176,-0.4145370252799176,-0.4145370252799176,-0.4145370252799176
BTC,bitcoin-above-68k-on-april-9,68000.0,1775750460,1775148300,0.4716238696725148,6.969444444444444,67172.97,72342.21,5.97472727747512,0.0741368417678123,1,2026-04-09,False,0.4,1775152800,0.6,0.157052589223995,0.15497028549587802,-0.08381530964848966,-0.08381530964848966,-0.029286705291531427
BTC,bitcoin-above-70k-on-april-8,70000.0,1775664060,1775148300,0.4451618043525341,5.969444444444445,67172.97,71329.98,5.279351048715359,0.0600457814337739,1,2026-04-08,False,0.22,1775151900,0.78,0.4629972408166721,0.46115758994075384,0.4005400244123165,0.36957104954525427,0.02975252803341116
XRP,xrp-above-1pt4-on-april-5,1.4,1775404860,1775148300,0.5853349056388271,2.969444444444445,1.3065,1.2978,3.0970923965558588,-0.006681282773599,0,2026-04-05,False,0.05,1775207700,-0.05,-0.0293074499226468,-0.03177584054282973,-0.03177584054282973,-0.03177584054282973,-0.03177584054282973
BTC,bitcoin-above-68k-on-april-8,68000.0,1775664060,1775149200,0.4613154535539766,5.959027777777778,67095.85,71329.98,6.549036561670931,0.0611945218260804,1,2026-04-08,False,0.41,1775151900,0.59,0.1892348391870296,0.18695275172288428,-0.26764613792390723,-0.17606113269509743,-0.07772403131503629
BTC,bitcoin-above-66k-on-april-9,66000.0,1775750460,1775151000,0.4916013972696287,6.938194444444445,67247.69,72342.21,5.715558261855313,0.0730251077873979,1,2026-04-09,False,0.62,1775151900,0.38,-0.0373792581371369,-0.03937123663660857,-0.12160231973808938,-0.12160231973808938,0.015953286945571455
ETH,ethereum-above-2200-on-april-9,2200.0,1775750460,1775151000,0.637960462706874,6.938194444444445,2065.86,2223.14,3.39994334538012,0.0733740063501413,1,2026-04-09,False,0.2,1775158200,0.8,0.5505325353859584,0.5482747808058528,0.2736873740474198,0.45220106916477454,0.4954534182986807
BTC,bitcoin-above-66k-on-april-8,66000.0,1775664060,1775156400,0.475267357552278,5.875694444444444,66981.99,71329.98,6.4650578320367,0.0628929386169568,1,2026-04-08,False,0.61,1775164500,0.39,-0.0166064853853604,-0.018859309490790736,-0.16460525048676442,-0.16460525048676442,-0.008922224493284859
BTC,bitcoin-above-66k-on-april-5,66000.0,1775404860,1775160000,0.418609852019779,2.834027777777778,66975.99,67339.82,10.063934509822698,0.0054175437703195,1,2026-04-05,False,0.67,1775164500,0.3299999999999999,0.2754781942914063,0.2698770517186397,0.22248301402162277,0.22248301402162277,0.2698770517186397
ETH,ethereum-above-2000-on-april-9,2000.0,1775750460,1775169900,0.6479877541872946,6.719444444444444,2061.29,2223.14,4.338731762369856,0.0755886105529379,1,2026-04-09,False,0.63,1775184300,0.37,0.0420412945205628,0.03916298929095536,-0.0003861138896695958,-0.0003861138896695958,0.037025808716981384
SOL,solana-above-80-on-april-8,80.0,1775664060,1775172600,0.644556351769368,5.688194444444445,78.93,83.37,4.852347562644315,0.0547271487022109,1,2026-04-08,False,0.43,1775183400,0.5700000000000001,0.3044448533843535,0.3012944993551863,0.16950791444689692,0.1965050620724822,-0.1548022444721873
BTC,bitcoin-above-68k-on-april-7,68000.0,1775577660,1775172600,0.4127693959986529,4.688194444444444,66946.12,68187.74,8.000686745102795,0.0183766665327742,1,2026-04-07,False,0.37,1775175300,0.63,0.4829740476520586,0.47918096547085315,0.4203165955892272,0.41702235909933716,0.433101475447048
BTC,bitcoin-above-68k-on-april-6,68000.0,1775491260,1775178000,0.3938282609457275,3.625694444444444,66785.86,69938.59,9.063791921587814,0.0461261898055209,1,2026-04-06,False,0.32,1775180700,0.6799999999999999,0.2619218134670929,0.25762066189013333,-0.029091082598886438,-0.029091082598886438,0.021486283448724074
BTC,bitcoin-above-68k-on-april-4,68000.0,1775318460,1775178900,0.401725724235674,1.6152777777777778,66831.01,67385.65,11.988756535130518,0.0082648928562691,0,2026-04-04,False,0.24,1775180700,-0.24,-0.3390857882427502,-0.3458034429645971,-0.2686002174997502,-0.2686002174997502,-0.3458034429645971
BTC,bitcoin-above-66k-on-april-7,66000.0,1775577660,1775179800,0.4370202744206725,4.604861111111111,66863.0,68187.74,7.89636771774306,0.0196190334311013,1,2026-04-07,False,0.63,1775180700,0.37,0.2150808977613296,0.21133576655611222,0.08980086103478623,0.08980086103478623,0.1072878122447601
BTC,bitcoin-above-64k-on-april-6,64000.0,1775491260,1775188800,0.4388747215030595,3.500694444444444,66579.97,69938.59,6.2019072310033865,0.0492137897337349,1,2026-04-06,False,0.84,1775189700,0.16,-0.1452193584147308,-0.14816564836824211,0.005337734108641388,0.005337734108641388,-0.01935517894290399
XRP,xrp-above-1pt4-on-april-7,1.4,1775577660,1775216700,0.5475038637448731,4.177777777777778,1.3229,1.2982,4.146014892364308,-0.0188476068689661,0,2026-04-07,False,0.12,1775453400,-0.12,-0.0418575412358385,-0.045227295538282516,-0.0176174253255282,-0.0176174253255282,-0.029078543391267496
XRP,xrp-above-1pt4-on-april-6,1.4,1775491260,1775216700,0.5475038637448731,3.1777777777777776,1.3229,1.35,4.103744974529974,0.0202782959641408,0,2026-04-06,False,0.08,1775451600,-0.08,-0.1632169551548744,-0.1663732492933248,-0.14710156988501719,-0.14710156988501719,-0.17116459731210112
ETH,ethereum-above-2000-on-april-5,2000.0,1775404860,1775219400,0.4602030376760976,2.146527777777778,2067.34,2055.12,7.398900510305897,-0.0059285163672432,1,2026-04-05,False,0.8200000000000001,1775221200,0.1799999999999999,0.2238645027749529,0.21859645708158573,0.21370555840680044,0.21370555840680044,0.038476128227153364
XRP,xrp-above-1pt3-on-april-3,1.3,1775232060,1775219400,0.5625221326896278,0.1465277777777777,1.3264,1.3185,7.284548044049727,-0.0059737785876891,1,2026-04-03,False,0.92,1775222100,0.0799999999999999,0.1235162771265374,0.11841500641541784,0.11841500641541784,0.11841500641541784,0.11841500641541784
ETH,ethereum-above-2100-on-april-4,2100.0,1775318460,1775219400,0.398231114389759,1.1465277777777778,2067.34,2056.15,13.857966614502876,-0.0054274546410371,0,2026-04-04,False,0.21,1775220300,-0.21,-0.1347865147827781,-0.1445058696381361,-0.1445058696381361,-0.1445058696381361,-0.1445058696381361
BTC,bitcoin-above-66k-on-april-3,66000.0,1775232060,1775219400,0.3657457872661755,0.1465277777777777,67115.99,66829.01,4.005805956274023,-0.0042850489248363,1,2026-04-03,False,0.964,1775220300,0.036,0.0531650745060349,0.050360310466554835,0.050360310466554835,0.050360310466554835,0.050360310466554835
ETH,ethereum-above-2100-on-april-5,2100.0,1775404860,1775275200,0.5529596816535803,1.5006944444444446,2050.05,2055.12,8.827163899954444,0.002470057307127,0,2026-04-05,False,0.13,1775351700,-0.13,-0.1518036006922908,-0.15807661418593716,-0.15802746289695338,-0.15802746289695338,-0.15807661418593716
BTC,bitcoin-above-68k-on-april-9,68000.0,1775750460,1775277000,0.3942742615077338,5.479861111111111,66857.72,72342.21,7.697775302249252,0.0788409969333053,1,2026-04-09,False,0.36,1775284200,0.64,0.0330997210020931,0.02956817552402836,0.054981006753755744,0.054981006753755744,0.013835043743423717
BTC,bitcoin-above-68k-on-april-6,68000.0,1775491260,1775321100,0.2986244792624444,1.9694444444444443,67513.78,69938.59,17.176551911090066,0.0352858461035161,1,2026-04-06,False,0.36,1775322000,0.64,0.0339108326762199,0.023359139713949716,0.04155111714942504,0.04155111714942504,0.047695844554217784
BTC,bitcoin-above-66k-on-april-7,66000.0,1775577660,1775321100,0.3836649297662692,2.969444444444445,67513.78,68187.74,9.405421975178683,0.0099330581025519,1,2026-04-07,False,0.76,1775322000,0.24,0.1465753970415315,0.14080178115151284,-0.08069020704030051,-0.08069020704030051,0.09678668992430042
BTC,bitcoin-above-66k-on-april-6,66000.0,1775491260,1775324700,0.3533270949591182,1.9277777777777776,67326.01,69938.59,11.623085511226996,0.0380709308529497,1,2026-04-06,False,0.8,1775333700,0.1999999999999999,-0.2425016847958455,-0.24964183901442516,-0.2562548323853768,-0.2562548323853768,-0.13055491937676958
BTC,bitcoin-above-68k-on-april-7,68000.0,1775577660,1775351700,0.3631862278650534,2.615277777777778,67189.67,68187.74,11.953460412592577,0.0147452678189448,1,2026-04-07,False,0.35,1775352600,0.6499999999999999,0.4737430248531673,0.4664053305425583,0.4942018478027203,0.4942018478027203,0.40835787839417864
ETH,ethereum-above-2000-on-april-6,2000.0,1775491260,1775351700,0.5119256709152598,1.6152777777777778,2060.7,2163.78,8.086899019536961,0.0488109613243822,1,2026-04-06,False,0.8200000000000001,1775366100,0.1799999999999999,-0.214729315276803,-0.2199655210694953,-0.10045175465941199,-0.10045175465941199,-0.09346321512615507
ETH,ethereum-above-2100-on-april-7,2100.0,1775577660,1775358900,0.5205254647030868,2.531944444444444,2060.19,2080.7,8.266251552096342,0.009906164000403,0,2026-04-07,False,0.32,1775360700,-0.32,-0.4018868435436528,-0.4077100114711623,-0.30508028833326006,-0.30508028833326006,-0.3648976153499481
ETH,ethereum-above-2000-on-april-8,2000.0,1775664060,1775359800,0.6172222852269043,3.5215277777777776,2058.35,2215.83,5.962610618247639,0.0737223601617211,1,2026-04-08,False,0.6900000000000001,1775369700,0.3099999999999999,-0.1295777275025553,-0.13349059792998658,-0.14326042334943248,-0.14326042334943248,-0.05999333501905268
ETH,ethereum-above-2100-on-april-5,2100.0,1775404860,1775361600,0.4340654891247286,0.5006944444444444,2056.64,2055.12,10.579130570310738,-0.000739342796875,0,2026-04-05,False,0.05,1775362500,-0.05,-0.0421783960156398,-0.049703203312793334,-0.049703203312793334,-0.049703203312793334,-0.049703203312793334
ETH,ethereum-above-2100-on-april-8,2100.0,1775664060,1775362500,0.5554848711986727,3.4902777777777776,2054.65,2215.83,6.698480990475415,0.0755215339998359,1,2026-04-08,False,0.33,1775368800,0.6699999999999999,0.1641204401305562,0.1597246662230449,-0.09069236896101815,-0.09069236896101815,-0.04251619247709505
BTC,bitcoin-above-68k-on-april-9,68000.0,1775750460,1775363400,0.4132624371867112,4.479861111111111,67188.51,72342.21,8.366553209873125,0.073905525469878,1,2026-04-09,False,0.39,1775365200,0.61,-0.0083345113473679,-0.012419725999213486,0.06274603831726686,0.06274603831726686,-0.06858337247057363
ETH,ethereum-above-2000-on-april-9,2000.0,1775750460,1775367000,0.6225155366330635,4.438194444444445,2052.84,2223.14,5.4748593173387325,0.079696410686682,1,2026-04-09,False,0.65,1775369700,0.35,-0.0863266366064354,-0.08995063414835973,-0.09256231059833195,-0.09256231059833195,-0.01952001359935871
