asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged,fund_sum,fund_pnl,hold_h,ev_hf
ETH,ethereum-above-3200-on-december-2,3200.0,1764694860,1764179100,0.6511431252328028,5.969444444444445,3014.2,3005.59,3.5892250572594357,-0.0028605668540559,0,2025-12-02,False,0.15,1764180000.0,-0.1589249999999999,-0.1486577817694567,-0.00011241699410405965,-0.00040348989210007717,143.01666666666668,-0.14906127166155678
ETH,ethereum-above-3200-on-december-1,3200.0,1764608460,1764180000,0.6342790453026829,4.959027777777778,3026.89,2735.22,3.952082767564972,-0.1013238183733301,0,2025-12-01,False,0.15,1764180900.0,-0.1589249999999999,0.2415151165371212,-9.212163497239988e-05,-0.0003640723260943322,118.76666666666667,0.24115104421102687
ETH,ethereum-above-3300-on-december-2,3300.0,1764694860,1764180000,0.6611772381296431,5.959027777777778,3026.89,3005.59,2.6788603685967027,-0.0070618016197238,0,2025-12-02,False,0.09,1764180900.0,-0.095733,-0.0768154195100298,-0.00011271504207107774,-0.00030194785914892014,142.76666666666668,-0.07711736736917872
BTC,bitcoin-above-90k-on-december-2,90000.0,1764694860,1764181800,0.4268714203446445,5.938194444444445,90349.26,90913.0,7.320040717446342,0.0062201786253771,1,2025-12-02,False,0.5,1764182700.0,0.4825,0.43696803919245,0.00015172731902892214,0.0011106501532406813,142.26666666666668,0.43807868934569066
BTC,bitcoin-above-92k-on-november-30,92000.0,1764522060,1764181800,0.3749584543908997,3.938194444444444,90349.26,91748.01,9.109288468493473,0.0153629706922488,0,2025-11-30,False,0.26,1764182700.0,-0.273468,-0.4134137317687054,0.00013578262823945794,0.0012368831296434304,94.26666666666667,-0.41217684863906195
BTC,bitcoin-above-88k-on-november-30,88000.0,1764522060,1764197100,0.4048581232747799,3.761111111111111,90241.84,91748.01,8.149005602165918,0.0165526197133686,1,2025-11-30,False,0.42,1764198000.0,0.5629480000000001,0.4280606092252368,0.0001347219214607176,0.0010978496927179446,90.01666666666667,0.42915845891795473
ETH,ethereum-above-3000-on-november-30,3000.0,1764522060,1764198000,0.6050366120649541,3.750694444444445,3027.88,3039.99,6.457789122952376,0.0039915212680175,1,2025-11-30,False,0.36,1764198900.0,0.623872,0.598095597371363,-0.00010527666895248375,-0.0006798545276620078,89.76666666666667,0.5974157428437009
ETH,ethereum-above-2900-on-november-30,2900.0,1764522060,1764198000,0.6314993355416453,3.750694444444445,3027.88,3039.99,5.071124953771423,0.0039915212680175,1,2025-11-30,False,0.57,1764198900.0,0.412843,0.3926014968942467,-0.00010527666895248375,-0.0005338711429748736,89.76666666666667,0.39206762575127185
BTC,bitcoin-above-88k-on-december-1,88000.0,1764608460,1764198000,0.4267566819941727,4.750694444444445,90386.57,84618.21,7.138145186973981,-0.065946202738257,0,2025-12-01,False,0.44,1764198900.0,-0.457248,0.0134855696752996,0.00014048983529903712,0.0010028368416585892,113.76666666666667,0.01448840651695819
BTC,bitcoin-above-90k-on-november-30,90000.0,1764522060,1764198900,0.3817824464840633,3.740277777777778,90512.61,91748.01,10.23885164726548,0.0135566193102101,1,2025-11-30,False,0.5,1764199800.0,0.4825,0.3436957860443037,0.0001347165071762524,0.0013793423314154237,89.51666666666667,0.3450751283757191
BTC,bitcoin-above-82k-on-november-30,82000.0,1764522060,1764200700,0.5410561438197359,3.719444444444445,90417.22,91748.01,1.5473533600331808,0.0146110613426628,1,2025-11-30,False,0.93,1764201600.0,0.0654429999999999,0.0428345251377796,0.00013471109289178544,0.00020844566221984615,89.01666666666667,0.04304297079999944
BTC,bitcoin-above-88k-on-december-2,88000.0,1764694860,1764206100,0.4424164156010096,5.656944444444444,90688.06,90913.0,6.331365032727856,0.0024772995822634,1,2025-12-02,False,0.68,1764207000.0,0.3047679999999999,0.2890833120492657,0.0001503785652674141,0.0009521015898058893,135.51666666666668,0.2900354136390716
BTC,bitcoin-above-94k-on-december-1,94000.0,1764608460,1764206100,0.3991542599958484,4.656944444444444,90688.06,84618.21,6.331820020762225,-0.0692762140004774,0,2025-12-01,False,0.16,1764207000.0,-0.169408,0.2692365187708311,0.00014020449545850203,0.0008877496313450097,111.51666666666667,0.2701242684021761
BTC,bitcoin-above-90k-on-december-1,90000.0,1764608460,1764207900,0.4120309008917844,4.636111111111111,90706.52,84618.21,8.501064255338479,-0.0694797481971852,0,2025-12-01,False,0.66,1764208800.0,-0.675708,-0.0850561961309904,0.00014007180996517508,0.001190759456875514,111.01666666666667,-0.08386543667411489
BTC,bitcoin-above-96k-on-december-1,96000.0,1764608460,1764210600,0.4104768573115159,4.604861111111111,91480.0,84618.21,4.886190967443714,-0.0779708774780282,0,2025-12-01,False,0.08,1764211500.0,-0.085152,0.2958285972568021,0.00013712849229719284,0.0006700360004417185,110.26666666666667,0.29649863325724385
BTC,bitcoin-above-98k-on-december-2,98000.0,1764694860,1764210600,0.4222131087176846,5.604861111111111,91480.0,90913.0,3.09842971704998,-0.0062173638952874,0,2025-12-02,False,0.124,1764211500.0,-0.13160368,-0.1123396149451278,0.00014730256210610491,0.00045640663582715576,134.26666666666668,-0.11188320830930064
ETH,ethereum-above-3300-on-november-30,3300.0,1764522060,1764210600,0.6124362452284948,3.604861111111111,3067.47,3039.99,3.072628662328256,-0.0089988916649694,0,2025-11-30,False,0.059,1764211500.0,-0.0628863299999999,-0.035236077541028,-0.00010559657776334271,-0.00032445907147942137,86.26666666666667,-0.03556053661250742
SOL,solana-above-140-on-december-1,140.0,1764608460,1764214200,0.7796100964217664,4.563194444444444,143.1,123.69,4.478991580499671,-0.1457652511754868,0,2025-12-01,False,0.39,1764215100.0,-0.406653,0.2462283327444251,-0.0006369420429670897,-0.0028528580477158545,109.26666666666667,0.24337547469670925
SOL,solana-above-150-on-december-1,150.0,1764608460,1764214200,0.7584176215164798,4.563194444444444,143.1,123.69,3.934887504949988,-0.1457652511754868,0,2025-12-01,False,0.15,1764215100.0,-0.1589249999999999,0.4146448655063195,-0.0006369420429670897,-0.0025062952862485196,109.26666666666667,0.412138570220071
SOL,solana-above-140-on-november-30,140.0,1764522060,1764214200,0.7846149136386614,3.563194444444445,143.1,139.24,4.995492993355426,-0.027344623619167,0,2025-11-30,False,0.38,1764215100.0,-0.396492,-0.2598921243045099,-0.0006367072374308851,-0.0031806665434046763,85.26666666666667,-0.2630727908479146
SOL,solana-above-130-on-november-30,130.0,1764522060,1764214200,0.8880322636022395,3.563194444444445,143.1,139.24,2.619006053474256,-0.027344623619167,1,2025-11-30,False,0.78,1764215100.0,0.2079879999999999,0.2796037347885735,-0.0006367072374308851,-0.0016675401091223584,85.26666666666667,0.27793619467945113
ETH,ethereum-above-3000-on-december-2,3000.0,1764694860,1764264600,0.5998984433139308,4.979861111111111,3016.56,3005.59,5.68798947850166,-0.0036432211531717,1,2025-12-02,False,0.41,1764265500.0,0.5730670000000001,0.5937896035870956,-9.742891986698476e-05,-0.0005541746711051907,119.26666666666667,0.5932354289159905
ETH,ethereum-above-3200-on-december-2,3200.0,1764694860,1764270000,0.5959924220038988,4.917361111111111,3037.9,3005.59,4.234253470695985,-0.0106925990900784,0,2025-12-02,False,0.15,1764270900.0,-0.1589249999999999,-0.1136498251920747,-9.58999175005421e-05,-0.00040606455851612905,117.76666666666667,-0.11405588975059083
ETH,ethereum-above-3000-on-december-1,3000.0,1764608460,1764320400,0.506442519909702,3.3340277777777776,3065.24,2735.22,7.545492072846418,-0.1139139983526196,0,2025-12-01,False,0.57,1764321300.0,-0.5871569999999999,0.2723801715559316,-4.949621539973581e-05,-0.00037347330093460534,79.76666666666667,0.27200669825499696
ETH,ethereum-above-2900-on-december-3,2900.0,1764781260,1764320400,0.613761123108552,5.334027777777778,3065.24,3091.38,4.179596732770071,0.0084917234060404,1,2025-12-03,False,0.72,1764321300.0,0.265888,0.2303960205965263,-7.712989085646325e-05,-0.000322371839822586,127.76666666666667,0.23007364875670372
ETH,ethereum-above-3000-on-december-2,3000.0,1764694860,1764351000,0.5642797512106832,3.979861111111111,3017.7,3005.59,6.753868444221447,-0.0040210636768821,1,2025-12-02,False,0.41,1764351900.0,0.5730670000000001,0.6002247350794997,-6.176501182223728e-05,-0.000417152764303173,95.26666666666667,0.5998075823151965
BTC,bitcoin-above-94k-on-december-6,94000.0,1765040460,1764722700,0.4652128123058189,3.6777777777777776,91473.55,89685.64,7.106619543041053,-0.0197391923912054,0,2025-12-06,False,0.288,1764723600.0,-0.30235392,-0.1620749895888122,7.599621546001446e-05,0.0005400761899852974,88.01666666666667,-0.1615349133988269
ETH,ethereum-above-3300-on-december-7,3300.0,1765126860,1764742500,0.6732600048453061,4.448611111111111,3069.57,3036.73,3.219563736402401,-0.0107562080542418,0,2025-12-07,False,0.175,1764743400.0,-0.18510625,-0.1504759526073636,-0.00014963113286788196,-0.00048174696921824214,106.51666666666667,-0.15095769957658184
ETH,ethereum-above-3200-on-december-7,3200.0,1765126860,1764743400,0.6616415273532908,4.438194444444445,3083.66,3036.73,4.715757931099965,-0.015335924602049,0,2025-12-07,False,0.23,1764744300.0,-0.242397,-0.170076491927136,-0.00014963215869036274,-0.0007056290390916866,106.26666666666667,-0.1707821209662277
ETH,ethereum-above-3000-on-december-10,3000.0,1765386060,1764902700,0.6824809875778495,5.594444444444444,3188.71,3347.24,3.7475858708818057,0.0485196793689612,1,2025-12-10,False,0.73,1764903600.0,0.256203,0.0743713351371652,-9.524931868001461e-05,-0.0003569550008963412,134.01666666666668,0.07401438013626886
SOL,solana-above-140-on-december-11,140.0,1765472460,1765164600,0.7378903764053956,3.563194444444445,134.46,131.39,4.597169761698932,-0.02309675738716,0,2025-12-11,False,0.23,1765165500.0,-0.242397,-0.1362172853464515,0.0005049983735185889,0.0023215632524467996,85.26666666666667,-0.1338957220940047
ETH,ethereum-above-3000-on-december-13,3000.0,1765645260,1765310400,0.9024329098234782,3.875694444444445,3357.88,3105.36,2.1753964047589007,-0.0781801717662697,1,2025-12-13,False,0.68,1765311300.0,0.3047679999999999,0.4748408645837764,-1.1015936129969185e-05,-2.3964027852188644e-05,92.76666666666667,0.4748169005559242
SOL,solana-above-130-on-december-18,130.0,1766077260,1765765800,0.7301590568759455,3.604861111111111,132.76,126.6,5.324379686395696,-0.0475104771416979,0,2025-12-18,False,0.56,1765766700.0,-0.5772480000000001,-0.3242841806157763,-5.452045432666891e-05,-0.0002902875995099803,86.26666666666667,-0.3245744682152863
SOL,solana-above-140-on-december-18,140.0,1766077260,1765765800,0.7068698208695803,3.604861111111111,132.76,126.6,4.15342674082611,-0.0475104771416979,0,2025-12-18,False,0.15,1765766700.0,-0.1589249999999999,0.038406286229736,-5.452045432666891e-05,-0.00022644671292237526,86.26666666666667,0.03817983951681363
ETH,ethereum-above-2900-on-december-30,2900.0,1767114060,1766715300,0.5227788993475835,4.615277777777777,2953.42,2984.93,6.523488718773652,0.0106124750925579,1,2025-12-30,False,0.53,1766716200.0,0.452563,0.3833326384554321,0.0006888021402127534,0.004493392991145043,110.51666666666667,0.3878260314465771
BTC,bitcoin-above-86k-on-december-31,86000.0,1767200460,1766715300,0.3770816849381809,5.615277777777778,88195.66,87622.31,7.467929127914152,-0.0065221095707635,1,2025-12-31,False,0.83,1766716200.0,0.160123,0.2088296520389529,0.0014773073963008712,0.011032426935718292,134.51666666666668,0.2198620789746712
ETH,ethereum-above-2900-on-december-31,2900.0,1767200460,1766715300,0.536261473421273,5.615277777777778,2953.42,2974.3,5.82592372005796,0.0070448963031687,1,2025-12-31,False,0.53,1766716200.0,0.452563,0.4115199715220206,0.0009154959116045146,0.005333609347032827,134.51666666666668,0.4168535808690534
ETH,ethereum-above-2800-on-december-30,2800.0,1767114060,1766715300,0.5482165845414945,4.615277777777777,2953.42,2984.93,4.568586752503616,0.0106124750925579,1,2025-12-30,False,0.76,1766716200.0,0.227232,0.1787479868808653,0.0006888021402127534,0.003146852332872123,110.51666666666667,0.18189483921373742
ETH,ethereum-above-3000-on-december-29,3000.0,1767027660,1766715300,0.4789331099480791,3.615277777777778,2953.42,2937.32,7.866561434439192,-0.0054662198937279,0,2025-12-29,False,0.26,1766716200.0,-0.273468,-0.2304676453918353,0.0005935124790973053,0.004668902378925258,86.51666666666667,-0.22579874301291006
ETH,ethereum-above-2900-on-december-29,2900.0,1767027660,1766715300,0.501109773051321,3.615277777777778,2953.42,2937.32,7.547332440388144,-0.0054662198937279,1,2025-12-29,False,0.53,1766716200.0,0.452563,0.493818378730228,0.0005935124790973053,0.004479435987266282,86.51666666666667,0.4982978147174943
ETH,ethereum-above-3100-on-december-30,3100.0,1767114060,1766716200,0.5093407472674332,4.604861111111111,2981.02,2984.93,5.409331607295568,0.0013107721519025,0,2025-12-30,False,0.13,1766717100.0,-0.137917,-0.1450074012312493,0.0006888011519751332,0.003725953842520686,110.26666666666667,-0.1412814473887286
BTC,bitcoin-above-84k-on-december-31,84000.0,1767200460,1766716200,0.4147792101000764,5.604861111111111,89020.13,87622.31,4.221590741356357,-0.015826878050528,1,2025-12-31,False,0.83,1766717100.0,0.160123,0.2269376018426854,0.0014752965884510874,0.00622809841855973,134.26666666666668,0.23316570026124514
ETH,ethereum-above-2900-on-january-1,2900.0,1767286860,1766974500,0.5449727295848626,3.615277777777778,3012.43,2981.17,5.860236607996924,-0.0104312211193639,1,2026-01-01,False,0.67,1766975400.0,0.3145229999999999,0.3756524238698074,0.0006539893609331555,0.0038325323941809917,86.51666666666667,0.37948495626398837
SOL,solana-above-130-on-january-6,130.0,1767718860,1767393900,0.5490244324051179,3.761111111111111,133.01,138.63,6.652407427163933,0.0413842001850799,1,2026-01-06,False,0.59,1767394800.0,0.393067,0.1177624393215351,-1.1864137619202811e-05,-7.89250772148798e-05,90.01666666666667,0.11768351424432022
BTC,bitcoin-above-92k-on-january-8,92000.0,1767891660,1767485700,0.4345366890943848,4.698611111111111,91399.99,90904.38,7.992225417051485,-0.005437184209844,0,2026-01-08,False,0.45,1767486600.0,-0.467325,-0.4238697981608934,0.0010000357444214427,0.007992511094525057,112.51666666666667,-0.41587728706636834
SOL,solana-above-130-on-january-8,130.0,1767891660,1767485700,0.630333942870219,4.698611111111111,134.55,138.45,5.051833066650486,0.0285733724440559,1,2026-01-08,False,0.62,1767486600.0,0.363508,0.2191600922613983,0.0001516103469289213,0.0007659101638618766,112.51666666666667,0.21992600242526017
XRP,xrp-above-2-on-january-8,2.0,1767891660,1767499200,0.6194784002856938,4.542361111111111,2.0581,2.1426,5.371097511928618,0.0402368177500431,1,2026-01-08,False,0.57,1767500100.0,0.412843,0.1967271282948181,0.0002683912081238851,0.0014415553501777151,108.76666666666667,0.1981686836449958
SOL,solana-above-130-on-january-7,130.0,1767805260,1767529800,0.6131435455987712,3.188194444444444,134.76,135.63,5.818858401050623,0.0064351714362714,1,2026-01-07,False,0.67,1767530700.0,0.3145229999999999,0.2770776486258505,1.0111044838218355e-05,5.883473820026641e-05,76.26666666666667,0.2771364833640508
BTC,bitcoin-above-94k-on-january-12,94000.0,1768237260,1767735000,0.4414147243564194,5.813194444444444,93520.42,92149.84,7.110372515822234,-0.0147638603568792,0,2026-01-12,False,0.4,1767735900.0,-0.4168,-0.3118234530910082,0.0009587995755000571,0.006817422149817631,139.26666666666668,-0.30500603094119055
ETH,ethereum-above-3500-on-january-11,3500.0,1768150860,1767743100,0.6002691006036505,4.719444444444444,3291.49,3130.49,3.7786186079846975,-0.0501508079724352,0,2026-01-11,False,0.11,1767744000.0,-0.116853,0.072647776210111,0.00037079826782301147,0.0014011052346045248,113.01666666666667,0.07404888144471553
ETH,ethereum-above-3200-on-january-13,3200.0,1768323660,1767838500,0.5247016355778807,5.615277777777778,3181.37,3182.88,6.084329829280511,0.0004745256796432,0,2026-01-13,False,0.41,1767839400.0,-0.426933,-0.4298201707474132,0.000521229414146643,0.003171331672390825,134.51666666666668,-0.4266488390750224
ETH,ethereum-above-3100-on-january-11,3100.0,1768150860,1767858300,0.5081652794569715,3.386111111111111,3130.37,3130.49,8.027358477406544,3.8333391902929725e-05,1,2026-01-11,False,0.54,1767859200.0,0.4426119999999999,0.4423042841215402,0.0002832884531524917,0.002274057965965041,81.01666666666667,0.44457834208750524
ETH,ethereum-above-3200-on-january-11,3200.0,1768150860,1767861000,0.4972225881005128,3.354861111111111,3133.8,3130.49,7.520499508744773,-0.00105678386794,0,2026-01-11,False,0.27,1767861900.0,-0.283797,-0.2758494574403078,0.0002832884531524917,0.00213047067276638,80.26666666666667,-0.2737189867675414
SOL,solana-above-140-on-january-15,140.0,1768496460,1767909600,0.6327669548871009,6.792361111111111,139.61,143.69,4.608560445139564,0.0288053802405585,1,2026-01-15,False,0.41,1767910500.0,0.5730670000000001,0.4403156640161573,0.003084696766594161,0.014216011503775761,162.76666666666668,0.45453167551993306
ETH,ethereum-above-3200-on-january-12,3200.0,1768237260,1767910500,0.459767961921028,3.781944444444444,3126.44,3130.55,7.445132198490821,0.0013137309125049,0,2026-01-12,False,0.24,1767911400.0,-0.252768,-0.2625489003168433,0.0004927626370759535,0.0036686829755074282,90.51666666666667,-0.25888021734133587
BTC,bitcoin-above-88k-on-january-15,88000.0,1768496460,1767972600,0.4004763508531015,6.063194444444444,91680.59,96820.1,5.754980276642732,0.0545439289821722,1,2026-01-15,False,0.74,1767973500.0,0.246532,-0.0673672355030032,0.0009841478692536685,0.005663751576854832,145.26666666666668,-0.06170348392614838
BTC,bitcoin-above-90k-on-january-15,90000.0,1768496460,1767972600,0.3790187373217105,6.063194444444444,91680.59,96820.1,7.66983488849332,0.0545439289821722,1,2026-01-15,False,0.55,1767973500.0,0.432675,0.0143320705370331,0.0009841478692536685,0.0075482516630381484,145.26666666666668,0.02188032220007125
BTC,bitcoin-above-90k-on-january-13,90000.0,1768323660,1767997800,0.3096532456970486,3.771527777777778,90603.52,93371.06,12.431682936583364,0.0300883827229271,1,2026-01-13,False,0.56,1767998700.0,0.4227519999999999,0.048702765913997,0.0008530843183009815,0.010605273763289163,90.26666666666667,0.059308039677286165
BTC,bitcoin-above-90k-on-january-14,90000.0,1768410060,1768000500,0.3329854025170881,4.740277777777778,90708.05,97283.07,10.329813561488333,0.0699788687908742,1,2026-01-14,False,0.56,1768001400.0,0.4227519999999999,-0.3001166678535851,0.0009574030370710345,0.009889794876146489,113.51666666666667,-0.2902268729774386
ETH,ethereum-above-3100-on-january-15,3100.0,1768496460,1768042800,0.4590741289070095,5.250694444444445,3102.96,3335.31,7.245072335863807,0.0722091339386437,1,2026-01-15,False,0.46,1768043700.0,0.5226120000000001,-0.0005483986955523,0.00037211899989311476,0.002696029071774913,125.76666666666667,0.0021476303762226127
ETH,ethereum-above-3100-on-january-15,3100.0,1768496460,1768129200,0.5058283052952236,4.250694444444444,3107.76,3335.31,7.307167285837285,0.0706634191243569,1,2026-01-15,False,0.46,1768130100.0,0.5226120000000001,0.0062625754690903,0.00028488838089591427,0.0020817270569977765,101.76666666666667,0.008344302526088077
SOL,solana-above-140-on-january-15,140.0,1768496460,1768177800,0.56461672590398,3.688194444444445,140.7,143.69,7.016606860046208,0.0210282371207718,1,2026-01-15,False,0.47,1768178700.0,0.512563,0.3650161271637138,0.0007691541672171301,0.005396852406128843,88.26666666666667,0.37041297956984265
BTC,bitcoin-above-90k-on-january-15,90000.0,1768496460,1768186800,0.4147566536916279,3.584027777777778,92203.56,96820.1,8.260747711402432,0.0488558758246675,1,2026-01-15,False,0.69,1768187700.0,0.295027,-0.1085590644071836,0.0004292330648536808,0.0035457860581482956,85.76666666666667,-0.1050132783490353
BTC,bitcoin-above-92k-on-january-15,92000.0,1768496460,1768231800,0.3953666855158806,3.063194444444445,91320.0,96820.1,10.744262876056377,0.0584847956938737,1,2026-01-15,False,0.37,1768232700.0,0.613683,-0.0146930191874294,0.00030581629709972025,0.003285770687821552,73.26666666666667,-0.011407248499607848
