asset,event,slug,ts,filled,delta,pnl,move_bp
BTC,2026-04-27,bitcoin-above-80k-on-april-27,1776866400,True,7.994079972872832,-0.1514025714974046,-3.165100349002888
ETH,2026-04-22,ethereum-above-2400-on-april-22,1776867300,True,24.735753388124245,0.3319833861961975,-48.444676170905495
ETH,2026-04-23,ethereum-above-2400-on-april-23,1776868200,True,12.282614686413408,-0.12043585715941797,-64.02797658182001
BTC,2026-04-24,bitcoin-above-78k-on-april-24,1776868200,True,11.470782133430145,-0.5024324830750262,-39.157263830371825
BTC,2026-04-23,bitcoin-above-78k-on-april-23,1776868200,True,14.969235070556062,0.41726889958993435,-39.157263830371825
ETH,2026-04-26,ethereum-above-2600-on-april-26,1776868200,False,2.994571845864862,0.014216564413275378,-54.47474579971722
ETH,2026-04-25,ethereum-above-2500-on-april-25,1776870000,True,5.5253562464083625,0.02720722896474878,-52.77783654679049
ETH,2026-04-27,ethereum-above-2300-on-april-27,1776870000,False,4.685348717598783,0.008940828268435962,-26.08291340558482
ETH,2026-04-26,ethereum-above-2400-on-april-26,1776870000,True,6.592649570044474,-0.3403779581810022,-38.35623425292092
ETH,2026-04-26,ethereum-above-2500-on-april-26,1776870000,True,5.2149654569768735,-0.10164488778020112,-52.77783654679049
ETH,2026-04-24,ethereum-above-2400-on-april-24,1776870000,True,8.665732950889495,-0.20070555354912054,-38.35623425292092
ETH,2026-04-25,ethereum-above-2400-on-april-25,1776870000,True,7.3972080635007345,-0.19920842134059535,-38.35623425292092
ETH,2026-04-27,ethereum-above-2400-on-april-27,1776870000,True,5.746334086895598,-0.17305743839149193,-52.77783654679049
ETH,2026-04-27,ethereum-above-2600-on-april-27,1776870900,False,2.821141749778557,0.0017566912436361094,-13.227377170866243
ETH,2026-04-28,ethereum-above-2400-on-april-28,1776870900,False,5.1711055308906255,0.0032199855986487966,-13.227377170866243
ETH,2026-04-27,ethereum-above-2500-on-april-27,1776872700,True,4.987499190789072,0.02331841531492254,-74.90765247700716
SOL,2026-04-23,solana-above-90-on-april-23,1776875400,True,9.403006250316846,-0.01701875632639186,-9.106432046496648
ETH,2026-04-29,ethereum-above-2600-on-april-29,1776878100,False,2.8058040916254225,-0.0023277924712014906,1.2949607248174155
ETH,2026-04-29,ethereum-above-2300-on-april-29,1776880800,True,4.1918778153141165,-0.44361085859534777,10.581218077162147
ETH,2026-04-29,ethereum-above-2400-on-april-29,1776881700,False,4.784022720232771,-0.004644141542302277,2.7059937927255877
BTC,2026-04-29,bitcoin-above-82k-on-april-29,1776882600,False,5.552510924826223,0.02143177390873335,-46.16557263057742
BTC,2026-04-29,bitcoin-above-84k-on-april-29,1776884400,False,3.805467148410533,0.01713372514184091,-52.58390674810743
BTC,2026-04-24,bitcoin-above-76k-on-april-24,1776903300,True,9.673013698211701,0.17875055919866675,-20.939118817945545
SOL,2026-04-24,solana-above-80-on-april-24,1776904200,False,0.7974284756497589,0.012767366729092748,-167.01849617931472
SOL,2026-04-24,solana-above-90-on-april-24,1776906000,True,6.691723698923111,-0.09765428363251602,-135.61494425648425
ETH,2026-04-25,ethereum-above-2300-on-april-25,1776909600,True,6.596612014848821,0.42871284744487625,-26.272551427232106
ETH,2026-04-24,ethereum-above-2300-on-april-24,1776911400,True,8.144085752056162,0.38759022609462174,-26.10434712250795
BTC,2026-04-29,bitcoin-above-78k-on-april-29,1776916800,False,7.2452062327946045,-0.03317958235925023,38.7894635522291
BTC,2026-04-29,bitcoin-above-80k-on-april-29,1776916800,False,6.352620728854739,-0.02909196728121506,38.7894635522291
BTC,2026-04-29,bitcoin-above-76k-on-april-29,1776916800,False,6.549910854258926,-0.029995461778705733,38.7894635522291
ETH,2026-04-26,ethereum-above-2300-on-april-26,1776920400,True,6.625296650077333,0.3460731003435828,-52.31220680473549
BTC,2026-04-26,bitcoin-above-80k-on-april-26,1776920400,True,8.175236549056686,-0.22868949077322456,-7.370520192827487
ETH,2026-04-28,ethereum-above-2300-on-april-28,1776920400,False,5.177773843174022,0.013812571413345475,-33.79015792494543
BTC,2026-04-26,bitcoin-above-78k-on-april-26,1776920400,True,10.524752873317889,0.48593925624830514,-23.82324520999062
BTC,2026-04-28,bitcoin-above-76k-on-april-28,1776924000,True,6.874738322434269,0.4610615495878619,-38.41473364511113
BTC,2026-04-27,bitcoin-above-78k-on-april-27,1776927600,True,9.176722613800344,-0.35326279952859474,-20.838347218634684
BTC,2026-04-28,bitcoin-above-78k-on-april-28,1776927600,True,8.109517741189501,-0.2997822798993614,-20.838347218634684
BTC,2026-04-28,bitcoin-above-80k-on-april-28,1776927600,True,7.3206220996659805,-0.10120510738653055,-20.838347218634684
ETH,2026-04-24,ethereum-above-2200-on-april-24,1776936600,False,3.9469847780387255,-0.005424534955482301,6.674058613450962
ETH,2026-04-23,ethereum-above-2300-on-april-23,1776937500,True,20.50485510127788,0.1816582981779564,-38.60858923693597
BTC,2026-04-25,bitcoin-above-78k-on-april-25,1776937500,True,13.113603767473746,-0.3911532262527166,-9.09504382840611
ETH,2026-04-28,ethereum-above-2200-on-april-28,1776937500,False,4.2097070523977465,0.005202757171533114,-19.414932345503058
BTC,2026-04-23,bitcoin-above-76k-on-april-23,1776940200,True,8.228530254395864,-0.041827093276276955,-1.4835533663175013
BTC,2026-04-27,bitcoin-above-76k-on-april-27,1776945600,True,8.428000814981074,0.3783554621795991,1.2894154834980684
BTC,2026-04-23,bitcoin-above-78k-on-april-23,1776956400,True,79.38537143493096,0.09073684540837652,-9.057477849473196
