asset,slug,K,T_pm,ts,sigma,tte_d,S_bin,S_T,delta,ret_T,label,event,is_test,entry,entry_ts,ev_raw,ev_hedged
BTC,bitcoin-above-88k-on-november-27,88000.0,1764262860,1763676900,0.5466136579597648,6.781944444444444,87894.12,91452.06,5.346621091392021,0.039681992297982006,1,2025-11-27,False,0.44,1763677800.0,0.542752,0.3305874230311537
BTC,bitcoin-above-90k-on-november-27,90000.0,1764262860,1763676900,0.5392625185709383,6.781944444444444,87894.12,91452.06,5.088804010165136,0.039681992297982006,1,2025-11-27,False,0.32,1763677800.0,0.6647679999999999,0.46283411846268707
BTC,bitcoin-above-92k-on-november-26,92000.0,1764176460,1763677800,0.5322194280791654,5.771527777777777,88131.31,87880.5,4.745370002923747,-0.0028499243290320037,0,2025-11-26,False,0.2,1763678700.0,-0.2112,-0.19767605457840895
SOL,solana-above-130-on-november-27,130.0,1764262860,1763677800,0.8902081236799397,6.771527777777778,136.06,142.15,3.130811598270836,0.04378687318009402,1,2025-11-27,False,0.6,1763678700.0,0.38320000000000004,0.2461115495957475
BTC,bitcoin-above-84k-on-november-26,84000.0,1764176460,1763677800,0.5855311071547855,5.771527777777777,88131.31,87880.5,4.483974119146264,-0.0028499243290320037,1,2025-11-26,False,0.72,1763678700.0,0.265888,0.2786669869329048
BTC,bitcoin-above-84k-on-november-27,84000.0,1764262860,1763678700,0.5756628264968958,6.761111111111111,88131.01,91452.06,4.319579325116784,0.03699044316506911,1,2025-11-27,False,0.71,1763679600.0,0.275587,0.11580384647726005
BTC,bitcoin-above-80k-on-november-26,80000.0,1764176460,1763729100,0.7358384528327856,5.177777777777778,83010.37,87880.5,4.238687903580884,0.05701239732560693,1,2025-11-26,False,0.649,1763730000.0,0.33505407,0.09339631110180271
BTC,bitcoin-above-80k-on-november-27,80000.0,1764262860,1763730900,0.7280472892403471,6.156944444444444,83820.0,91452.06,3.8195877225994446,0.08714325805671905,1,2025-11-27,False,0.68,1763731800.0,0.30476799999999993,-0.028083318580759298
BTC,bitcoin-above-86k-on-november-27,86000.0,1764262860,1763730900,0.6743138541023078,6.156944444444444,83820.0,91452.06,4.3038407017435025,0.08714325805671905,1,2025-11-27,False,0.39,1763731800.0,0.593347,0.21829629909295512
ETH,ethereum-above-2700-on-november-24,2700.0,1764003660,1763732700,1.0139562052639493,3.1361111111111106,2759.28,2864.84,4.173336476201537,0.037542726053437295,1,2025-11-24,False,0.54,1763733600.0,0.44261199999999995,0.28593357194514835
ETH,ethereum-above-2800-on-november-24,2800.0,1764003660,1763732700,0.9727837394664814,3.1361111111111106,2759.28,2864.84,4.330024329017286,0.037542726053437295,1,2025-11-24,False,0.37,1763733600.0,0.613683,0.45112208281098537
ETH,ethereum-above-2900-on-november-25,2900.0,1764090060,1763732700,0.9367530837419085,4.136111111111111,2759.28,2931.54,3.441633173387265,0.06055810608927815,1,2025-11-25,False,0.26,1763733600.0,0.726532,0.518113213165635
ETH,ethereum-above-2700-on-november-26,2700.0,1764176460,1763732700,0.9781110591117713,5.136111111111111,2759.28,2949.03,3.4097944925060086,0.06650652658991747,1,2025-11-26,False,0.53,1763733600.0,0.452563,0.22578941191799498
ETH,ethereum-above-2700-on-november-27,2700.0,1764262860,1763732700,0.9672407536103643,6.136111111111111,2759.28,3019.61,3.1617340794280344,0.09015790784330514,1,2025-11-27,False,0.53,1763733600.0,0.452563,0.16750767024189006
ETH,ethereum-above-2600-on-november-24,2600.0,1764003660,1763732700,1.0717439208794366,3.1361111111111106,2759.28,2864.84,3.454296498532521,0.037542726053437295,1,2025-11-24,False,0.784,1763733600.0,0.20414591999999998,0.07446221284824589
ETH,ethereum-above-2600-on-november-26,2600.0,1764176460,1763732700,1.018385102267367,5.136111111111111,2759.28,2949.03,3.0084499075491604,0.06650652658991747,1,2025-11-26,False,0.67,1763733600.0,0.31452299999999994,0.11444144622914695
ETH,ethereum-above-2500-on-november-26,2500.0,1764176460,1763732700,1.071300226870016,5.136111111111111,2759.28,2949.03,2.43471952636962,0.06650652658991747,1,2025-11-26,False,0.762,1763733600.0,0.22530508,0.06338034108050758
BTC,bitcoin-above-86k-on-november-24,86000.0,1764003660,1763736300,0.6896002154022328,3.0944444444444446,84916.47,87269.1,6.116977525561272,0.027328380863798737,1,2025-11-24,False,0.42,1763737200.0,0.5629480000000001,0.39578090844616454
BTC,bitcoin-above-86k-on-november-26,86000.0,1764176460,1763736300,0.6591270541741363,5.094444444444445,84916.47,87880.5,5.019951055826947,0.03430986964095143,1,2025-11-26,False,0.4,1763737200.0,0.5831999999999999,0.41096613367062085
ETH,ethereum-above-2800-on-november-27,2800.0,1764262860,1763744400,0.8948773727645214,6.000694444444445,2762.8,3019.61,3.4247016798408714,0.08888302574208178,1,2025-11-27,False,0.4,1763745300.0,0.5831999999999999,0.27880215243175305
BTC,bitcoin-above-88k-on-november-25,88000.0,1764090060,1763744400,0.6331395655563684,4.000694444444445,84919.59,87191.19,5.114066466340076,0.02639848495083563,0,2025-11-25,False,0.2,1763745300.0,-0.2112,-0.34620360664925165
ETH,ethereum-above-2600-on-november-27,2600.0,1764262860,1763744400,0.9594095131243402,6.000694444444445,2762.8,3019.61,2.9538585612266006,0.08888302574208178,1,2025-11-27,False,0.67,1763745300.0,0.31452299999999994,0.05197511346402739
BTC,bitcoin-above-78k-on-november-27,78000.0,1764262860,1763745300,0.7429183372253717,5.990277777777778,85128.68,91452.06,2.867724547898809,0.07165090647506252,1,2025-11-27,False,0.81,1763746200.0,0.17922699999999994,-0.02624806337773855
BTC,bitcoin-above-82k-on-november-26,82000.0,1764176460,1763761500,0.6437586781801216,4.802777777777778,85260.26,87880.5,4.7887679292115966,0.030269476248844445,1,2025-11-26,False,0.689,1763762400.0,0.29600047000000007,0.15104697290550165
BTC,bitcoin-above-86k-on-november-25,86000.0,1764090060,1763761500,0.5929027661460087,3.8027777777777776,85260.26,87191.19,6.494161201472163,0.022394832872679866,1,2025-11-25,False,0.33,1763762400.0,0.654523,0.509087345244789
ETH,ethereum-above-2700-on-november-25,2700.0,1764090060,1763763300,0.8927316834124237,3.781944444444444,2766.11,2931.54,4.28444881001023,0.05808588114997532,1,2025-11-25,False,0.54,1763764200.0,0.44261199999999995,0.19374601562859253
BTC,bitcoin-above-84k-on-november-25,84000.0,1764090060,1763767800,0.5958046403989807,3.729861111111111,85032.63,87191.19,6.525684235137881,0.025068228521476065,1,2025-11-25,False,0.56,1763768700.0,0.42275199999999996,0.2591646563345698
ETH,ethereum-above-2800-on-november-25,2800.0,1764090060,1763768700,0.8295034246609179,3.7194444444444446,2764.99,2931.54,4.677172931312058,0.058490863889505675,1,2025-11-25,False,0.4,1763769600.0,0.5831999999999999,0.30962811468694607
